variable,non_null,missing,missing_pct
Row_ID,7595,0,0.0
Country Name,7595,0,0.0
ISO3,7595,0,0.0
Year,7595,0,0.0
Region,7595,0,0.0
IncomeGroup,7595,0,0.0
Max_Oil_Rents_Pre2016,7000,595,7.834101382488479
Inward_FDI_Net_Flow_USD,6635,960,12.639894667544437
Inward_FDI_Net_Flow_GDP_Pct,6538,1057,13.91705069124424
Oil_Rents_GDP_Pct,6054,1541,20.28966425279789
GDP_Current_USD,7214,381,5.0164581961816985
Population,7595,0,0.0
Trade_GDP_Pct,5996,1599,21.053324555628702
Inflation_CPI_Annual_Pct,6015,1580,20.803159973666887
Electricity_Access_Pct,6532,1063,13.996050032916393
GDP_Growth_Annual_Pct,7109,486,6.398946675444371
Regulatory_Quality,5143,2452,32.284397630019754
Inward_FDI_Net_Flow_USD_Millions,6635,960,12.639894667544437
Inward_FDI_Net_Flow_asinh,6635,960,12.639894667544437
Inward_FDI_Net_Flow_GDP_Pct_Derived,6538,1057,13.91705069124424
Flow_GDP_Pct_Official_Minus_Derived,6538,1057,13.91705069124424
Inward_FDI_Net_Flow_GDP_Pct_asinh,6538,1057,13.91705069124424
GDP_log,7214,381,5.0164581961816985
Population_log,7595,0,0.0
Inward_FDI_Net_Flow_asinh_lag1,6440,1155,15.207373271889402
Inward_FDI_Net_Flow_GDP_Pct_lag1,6347,1248,16.431863067807768
Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,6347,1248,16.431863067807768
Oil_Rents_GDP_Pct_lag1,6054,1541,20.28966425279789
GDP_log_lag1,7015,580,7.636603028308098
Population_log_lag1,7378,217,2.857142857142857
Trade_GDP_Pct_lag1,5824,1771,23.317972350230416
Inflation_CPI_Annual_Pct_lag1,5841,1754,23.094140882159316
Electricity_Access_Pct_lag1,6532,1063,13.996050032916393
GDP_Growth_Annual_Pct_lag1,6910,685,9.01909150757077
Regulatory_Quality_lag1,4939,2656,34.97037524687294
Oil_Rent_Intensive_Pre2016_ge1p0pct,7595,0,0.0
Oil_Rent_Intensive_Pre2016_ge5p0pct,7595,0,0.0
Oil_Rent_Intensive_Pre2016_ge10p0pct,7595,0,0.0
Oil_Rent_Intensive_Pre2016_ge15p0pct,7595,0,0.0
