Country Name,ISO3,Region,IncomeGroup,Country_Fold
Aruba,ABW,Latin America & Caribbean,High income,2
Afghanistan,AFG,Middle East & North Africa,Low income,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,0
Albania,ALB,Europe & Central Asia,Upper middle income,4
Andorra,AND,Europe & Central Asia,High income,3
United Arab Emirates,ARE,Middle East & North Africa,High income,0
Argentina,ARG,Latin America & Caribbean,Upper middle income,4
Armenia,ARM,Europe & Central Asia,Upper middle income,2
American Samoa,ASM,East Asia & Pacific,High income,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0
Australia,AUS,East Asia & Pacific,High income,1
Austria,AUT,Europe & Central Asia,High income,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1
Burundi,BDI,Sub-Saharan Africa,Low income,3
Belgium,BEL,Europe & Central Asia,High income,4
Benin,BEN,Sub-Saharan Africa,Lower middle income,3
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2
Bangladesh,BGD,South Asia,Lower middle income,4
Bulgaria,BGR,Europe & Central Asia,High income,0
Bahrain,BHR,Middle East & North Africa,High income,0
"Bahamas, The",BHS,Latin America & Caribbean,High income,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,4
Belarus,BLR,Europe & Central Asia,Upper middle income,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,4
Bermuda,BMU,North America,High income,3
Bolivia,BOL,Latin America & Caribbean,Lower middle income,3
Brazil,BRA,Latin America & Caribbean,Upper middle income,2
Barbados,BRB,Latin America & Caribbean,High income,0
Brunei Darussalam,BRN,East Asia & Pacific,High income,4
Bhutan,BTN,South Asia,Lower middle income,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,3
Central African Republic,CAF,Sub-Saharan Africa,Low income,3
Canada,CAN,North America,High income,4
Switzerland,CHE,Europe & Central Asia,High income,0
Channel Islands,CHI,Europe & Central Asia,High income,4
Chile,CHL,Latin America & Caribbean,High income,2
China,CHN,East Asia & Pacific,Upper middle income,2
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,3
Colombia,COL,Latin America & Caribbean,Upper middle income,4
Comoros,COM,Sub-Saharan Africa,Lower middle income,1
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,3
Costa Rica,CRI,Latin America & Caribbean,High income,3
Cuba,CUB,Latin America & Caribbean,Upper middle income,2
Curaçao,CUW,Latin America & Caribbean,High income,0
Cayman Islands,CYM,Latin America & Caribbean,High income,4
Cyprus,CYP,Europe & Central Asia,High income,3
Czechia,CZE,Europe & Central Asia,High income,4
Germany,DEU,Europe & Central Asia,High income,1
Djibouti,DJI,Middle East & North Africa,Lower middle income,1
Dominica,DMA,Latin America & Caribbean,Upper middle income,4
Denmark,DNK,Europe & Central Asia,High income,2
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2
Algeria,DZA,Middle East & North Africa,Upper middle income,0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1
Eritrea,ERI,Sub-Saharan Africa,Low income,1
Spain,ESP,Europe & Central Asia,High income,1
Estonia,EST,Europe & Central Asia,High income,0
Ethiopia,ETH,Sub-Saharan Africa,Low income,2
Finland,FIN,Europe & Central Asia,High income,4
Fiji,FJI,East Asia & Pacific,Upper middle income,0
France,FRA,Europe & Central Asia,High income,4
Faroe Islands,FRO,Europe & Central Asia,High income,0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Upper middle income,0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,3
United Kingdom,GBR,Europe & Central Asia,High income,4
Georgia,GEO,Europe & Central Asia,Upper middle income,2
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2
Gibraltar,GIB,Europe & Central Asia,High income,1
Guinea,GIN,Sub-Saharan Africa,Lower middle income,3
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1
