ISO3,min,max,count,Country_Name_Metadata,Region,IncomeGroup
ABW,1990,2024,35,Aruba,Latin America & Caribbean,High income
AFG,1990,2024,35,Afghanistan,Middle East & North Africa,Low income
AGO,1990,2024,35,Angola,Sub-Saharan Africa,Lower middle income
ALB,1990,2024,35,Albania,Europe & Central Asia,Upper middle income
AND,1990,2024,35,Andorra,Europe & Central Asia,High income
ARE,1990,2024,35,United Arab Emirates,Middle East & North Africa,High income
ARG,1990,2024,35,Argentina,Latin America & Caribbean,Upper middle income
ARM,1990,2024,35,Armenia,Europe & Central Asia,Upper middle income
ASM,1990,2024,35,American Samoa,East Asia & Pacific,High income
ATG,1990,2024,35,Antigua and Barbuda,Latin America & Caribbean,High income
AUS,1990,2024,35,Australia,East Asia & Pacific,High income
AUT,1990,2024,35,Austria,Europe & Central Asia,High income
AZE,1990,2024,35,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,1990,2024,35,Burundi,Sub-Saharan Africa,Low income
BEL,1990,2024,35,Belgium,Europe & Central Asia,High income
BEN,1990,2024,35,Benin,Sub-Saharan Africa,Lower middle income
BFA,1990,2024,35,Burkina Faso,Sub-Saharan Africa,Low income
BGD,1990,2024,35,Bangladesh,South Asia,Lower middle income
BGR,1990,2024,35,Bulgaria,Europe & Central Asia,High income
BHR,1990,2024,35,Bahrain,Middle East & North Africa,High income
BHS,1990,2024,35,"Bahamas, The",Latin America & Caribbean,High income
BIH,1990,2024,35,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,1990,2024,35,Belarus,Europe & Central Asia,Upper middle income
BLZ,1990,2024,35,Belize,Latin America & Caribbean,Upper middle income
BMU,1990,2024,35,Bermuda,North America,High income
BOL,1990,2024,35,Bolivia,Latin America & Caribbean,Lower middle income
BRA,1990,2024,35,Brazil,Latin America & Caribbean,Upper middle income
BRB,1990,2024,35,Barbados,Latin America & Caribbean,High income
BRN,1990,2024,35,Brunei Darussalam,East Asia & Pacific,High income
BTN,1990,2024,35,Bhutan,South Asia,Lower middle income
BWA,1990,2024,35,Botswana,Sub-Saharan Africa,Upper middle income
CAF,1990,2024,35,Central African Republic,Sub-Saharan Africa,Low income
CAN,1990,2024,35,Canada,North America,High income
CHE,1990,2024,35,Switzerland,Europe & Central Asia,High income
CHI,1990,2024,35,Channel Islands,Europe & Central Asia,High income
CHL,1990,2024,35,Chile,Latin America & Caribbean,High income
CHN,1990,2024,35,China,East Asia & Pacific,Upper middle income
