model,target_role,target,expected_feature,available,used,reason_if_absent
M1_Macro,primary,Inward_FDI_Net_Flow_asinh,Inward_FDI_Net_Flow_asinh_lag1,True,True,
M1_Macro,primary,Inward_FDI_Net_Flow_asinh,GDP_log_lag1,True,True,
M1_Macro,primary,Inward_FDI_Net_Flow_asinh,Population_log_lag1,True,True,
M1_Macro,primary,Inward_FDI_Net_Flow_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M1_Macro,primary,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,True,True,
M1_Macro,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,True,True,
M1_Macro,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,GDP_log_lag1,True,True,
M1_Macro,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Population_log_lag1,True,True,
M1_Macro,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M1_Macro,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,True,True,
M1_Macro,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inward_FDI_Net_Flow_GDP_Pct_lag1,True,True,
M1_Macro,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,GDP_log_lag1,True,True,
M1_Macro,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Population_log_lag1,True,True,
M1_Macro,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inflation_CPI_Annual_Pct_lag1,True,True,
M1_Macro,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Electricity_Access_Pct_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Inward_FDI_Net_Flow_asinh_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,GDP_log_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Population_log_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,True,True,
M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Oil_Rents_GDP_Pct_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,GDP_log_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Population_log_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,True,True,
M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rents_GDP_Pct_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inward_FDI_Net_Flow_GDP_Pct_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,GDP_log_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Population_log_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inflation_CPI_Annual_Pct_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Electricity_Access_Pct_lag1,True,True,
M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Oil_Rents_GDP_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Inward_FDI_Net_Flow_asinh_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,GDP_log_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Population_log_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Oil_Rents_GDP_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Regulatory_Quality_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,GDP_log_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Population_log_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Inflation_CPI_Annual_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rents_GDP_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Regulatory_Quality_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inward_FDI_Net_Flow_GDP_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,GDP_log_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Population_log_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Inflation_CPI_Annual_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Electricity_Access_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Oil_Rents_GDP_Pct_lag1,True,True,
M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,Regulatory_Quality_lag1,True,True,
