sample_id,signal,base_model,added_model,target_role,target,universe,universe_type,universe_threshold,country_years,countries,year_min,year_max,median_years_per_country,nigeria_included,reference_future_train_rows,reference_future_test_rows
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,4735,185,1991,2022,27.0,True,3510,1225
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,oil_rent_threshold,1.0,1690,69,1991,2022,26.0,True,1258,432
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,1077,45,1991,2022,25.0,True,798,279
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,777,34,1991,2022,22.0,True,575,202
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,oil_rent_threshold,15.0,680,30,1991,2022,22.5,True,504,176
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,4734,185,1991,2022,27.0,True,3510,1224
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,oil_rent_threshold,1.0,1689,69,1991,2022,26.0,True,1258,431
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,1076,45,1991,2022,25.0,True,798,278
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,776,34,1991,2022,22.0,True,575,201
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,oil_rent_threshold,15.0,679,30,1991,2022,22.5,True,504,175
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,M1_Macro,M2_Macro_Oil,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,4734,185,1991,2022,27.0,True,3510,1224
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,3829,184,1997,2022,23.0,True,2606,1223
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,oil_rent_threshold,1.0,1391,69,1997,2022,23.0,True,959,432
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,893,45,1997,2022,22.0,True,614,279
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,655,34,1997,2022,21.0,True,453,202
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,oil_rent_threshold,15.0,571,30,1997,2022,21.0,True,395,176
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,3828,184,1997,2022,23.0,True,2606,1222
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,oil_rent_threshold,1.0,1390,69,1997,2022,23.0,True,959,431
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,892,45,1997,2022,22.0,True,614,278
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,654,34,1997,2022,21.0,True,453,201
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,oil_rent_threshold,15.0,570,30,1997,2022,21.0,True,395,175
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,M2_Macro_Oil,M3_Macro_Oil_RegQuality,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,3828,184,1997,2022,23.0,True,2606,1222
