sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.1542619074436497,0.1532144836263819,0.1542226729050694,0.1011611247265398,0.2104136953135254,-0.0010474238172678,0.0010474238172678,1.0,1.0,1.0,1.0,0.0142213127640792,0.0137452643180283,-0.0064976183799801,0.0352137777083684,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.1277790033014773,0.1279056873415595,0.1276315354406613,0.0593989895545991,0.2005521024293595,0.0001266840400822,0.0001266840400822,1.0,1.0,1.0,1.0,0.0272141682216017,0.0263102864968542,-0.0016481132173624,0.0577529998833047,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.1540861057954236,0.1530212759834553,0.1540375047616432,0.1012012280398806,0.2095232231006701,-0.0010648298119682,0.0010648298119682,1.0,1.0,1.0,1.0,0.0127369200641362,0.0123667118298581,-0.007804776875364,0.0335274621865737,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1765,184,4219930088,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2105516751276595,0.2084584819771973,0.2077878447826918,0.13788281506836,0.2824151753882,-0.0020931931504621,0.0020931931504621,1.0,1.0,1.0,1.0,-0.0229748371876317,-0.0217805473344037,-0.0484472668853407,0.0052483942889592,Supported and practically material,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,1765,184,4219930088,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2035747289041348,0.1995717580503571,0.1997534818719178,0.0697099896221743,0.3276840243219632,-0.0040029708537777,0.0040029708537777,0.999,0.999,0.999,0.999,-0.0149146473125996,-0.0131991230908466,-0.0553597154198431,0.0308891155505563,Supported and practically material,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1765,184,4219930088,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2091360017111475,0.2069980456684536,0.2064216995000082,0.1377477732070895,0.2797458541129191,-0.0021379560426939,0.0021379560426939,1.0,1.0,1.0,1.0,-0.0246026525466777,-0.0235684500102954,-0.049700502656951,0.0028842087838988,Supported and practically material,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,1404,184,3047808259,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2274832892059185,0.2270160833432893,0.2258521531976383,0.1456471189585078,0.3044378276709243,-0.0004672058626292,0.0004672058626292,1.0,1.0,1.0,1.0,-0.0244303406112881,-0.0247537104360712,-0.0489047394284259,0.0036302792009456,Supported and practically material,184,2000,184,184,102,116.0,130,68.0,True,4f0d16425d92a1b40934ad49f55c6a2c8c4bb17b94e5683d4eef890ee6b7acea
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,1404,184,3047808259,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2194611795849436,0.220839259369918,0.2188008792811291,0.0798172536552096,0.3586212969934527,0.0013780797849743,0.0013780797849743,0.9985,0.9985,0.998,0.998,-0.0222247417164994,-0.0234556758445628,-0.0649875790621125,0.0226201783646164,Supported and practically material,184,2000,184,184,102,116.0,130,68.0,True,4f0d16425d92a1b40934ad49f55c6a2c8c4bb17b94e5683d4eef890ee6b7acea
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,1404,184,3047808259,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2258210389878826,0.225361551482588,0.2242197195696635,0.1455169234726477,0.3013942781597199,-0.0004594875052946,0.0004594875052946,1.0,1.0,1.0,1.0,-0.0258149108869899,-0.0261736765705745,-0.0501143357943253,0.0015034820711278,Supported and practically material,184,2000,184,184,102,116.0,130,68.0,True,4f0d16425d92a1b40934ad49f55c6a2c8c4bb17b94e5683d4eef890ee6b7acea
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,1224,181,280830792,added_model_vs_strongest_benchmark,Training_Mean,M2_Macro_Oil,2000,0.2020321538810059,0.2103433642332983,0.2081558541009414,0.0291151374154438,0.3859593364713408,0.0083112103522924,0.0083112103522924,0.9915,0.99,0.9895,0.986,-0.2820068304392018,-0.280444845975607,-0.3620855123932865,-0.2093522548825563,Supported and practically material,181,2000,181,181,100,115.0,126,66.0,True,148eda3cac4185ac060e8e27e052ba31852debc63537f06639e46d2a37aa9946
