signal,target_role,target,universe,country_median_delta_r2,country_positive_share,country_increment_comparisons,country_median_delta_mae,future_aggregate_median_delta_r2,future_aggregate_positive_share,country_median_model_minus_benchmark_r2,country_benchmark_positive_share,country_benchmark_comparisons,future_aggregate_median_model_minus_benchmark_r2,future_aggregate_benchmark_positive_share,future_cutoffs_tested,future_cutoffs_supported,future_cutoff_supported_share,future_any_increment_supported,future_any_benchmark_supported,future_min_median_delta_r2,future_max_median_delta_r2,universe_type,universe_threshold,country_years,countries,nigeria_included,point_estimate_setup_verdict_deprecated,bootstrap_units,material_units,marginal_units,setup_dependent_units,unsupported_units,coverage_limited_units,positive_or_better_share,bootstrap_five_way_setup_verdict,verdict_scheme_order,setup_verdict,decision_basis,material_setup_requires_caution,material_setup_interpretation
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,0.0138801299875704,0.8666666666666667,15,0.0019804629696927,0.0109311844042546,1.0,0.1430579668731137,1.0,15,0.2064332660440724,1.0,5,5,1.0,True,True,0.0082629689959669,0.0158502439710032,oil_rent_threshold,1.0,1689,69,True,Evidence-supported across country and cutoff tests,18,11,4,3,0,0,0.8333333333333334,Supported and practically material,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Supported and practically material,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,True,"Supportive but not standalone confirmatory evidence: the two ge1pct material cells arise from correlated prespecified setups, have lower uncertainty bounds close to zero, and use conditional fixed-prediction bootstrap intervals that exclude model-refitting variability."
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,0.0013580061265168,0.6,15,-0.0001362433603467,0.0050957156673691,0.8,0.1147071837207338,0.9333333333333332,15,0.1895133175147128,1.0,5,5,1.0,True,True,0.003581691760111,0.009071468349897,oil_rent_threshold,5.0,1076,45,True,Evidence-supported across country and cutoff tests,18,2,9,7,0,0,0.6111111111111112,Directionally positive but marginal,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Directionally positive but marginal,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,0.0060629366052872,0.6666666666666666,15,-0.0073189002933318,0.0029521726987555,0.8666666666666667,0.1039516433309966,0.9333333333333332,15,0.2065540494234905,1.0,5,5,1.0,True,True,0.0017558225541936,0.0050081467838087,oil_rent_threshold,10.0,776,34,True,Evidence-supported across country and cutoff tests,18,1,9,4,1,3,0.5555555555555556,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,0.0016111448594131,0.6666666666666666,15,-0.0016080075486435,0.00155646005392,0.9333333333333332,0.1235727860958574,0.9333333333333332,15,0.1443146406221172,0.9333333333333332,5,5,1.0,True,True,0.0011032610984975,0.0030744854191798,oil_rent_threshold,15.0,679,30,True,Evidence-supported across country and cutoff tests,18,0,2,10,3,3,0.1111111111111111,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,0.0043260733307469,0.7333333333333333,15,-0.0032185739319909,0.0058591816971132,0.9333333333333332,0.1431506411779332,1.0,15,0.2035747289041349,1.0,5,5,1.0,True,True,0.004697635792036,0.0093199266211604,all,,4734,185,True,Evidence-supported across country and cutoff tests,18,2,14,2,0,0,0.8888888888888888,Directionally positive but marginal,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Directionally positive but marginal,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,0.0197770857131923,0.9333333333333332,15,0.0169890607805647,0.011660989918851,0.9333333333333332,0.2309255774153332,1.0,15,0.1902914636134405,1.0,5,5,1.0,True,True,0.0102598855249514,0.0163632069412089,oil_rent_threshold,1.0,1690,69,True,Evidence-supported across country and cutoff tests,18,10,5,3,0,0,0.8333333333333334,Directionally positive but marginal,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Directionally positive but marginal,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,0.0082587563579547,0.6666666666666666,15,0.0122253215907828,0.0024428484327521,0.7333333333333333,0.1302144609276822,1.0,15,0.1621849382840923,1.0,5,5,1.0,True,True,0.0012412443956859,0.0081829428317766,oil_rent_threshold,5.0,1077,45,True,Evidence-supported across country and cutoff tests,18,0,7,10,1,0,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,0.0068726957348939,0.6666666666666666,15,0.004155793476531,-1.669397110901083e-05,0.4666666666666667,0.0979604283581075,0.9333333333333332,15,0.1804962768212677,1.0,5,3,0.6,True,True,-0.0008166529224808,0.0052951453174642,oil_rent_threshold,10.0,777,34,True,Evidence-supported across country and cutoff tests,18,0,2,11,2,3,0.1111111111111111,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,-0.0006719722141219,0.4666666666666667,15,0.0014533598840782,-0.0045147620817121,0.2666666666666666,0.110894776313775,0.9333333333333332,15,0.0554865723552884,0.9333333333333332,5,1,0.2,True,True,-0.0065630093362675,0.0007634810546431,oil_rent_threshold,15.0,680,30,True,Conditional/validation-cutoff-dependent,18,0,1,11,3,3,0.0555555555555555,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,0.0098830988143397,1.0,15,0.0091613523077331,0.0078499699973376,1.0,0.2508812546022381,1.0,15,0.2618485472742281,1.0,5,5,1.0,True,True,0.007526277712703,0.0114413476374836,all,,4735,185,True,Evidence-supported across country and cutoff tests,18,5,11,2,0,0,0.8888888888888888,Directionally positive but marginal,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Directionally positive but marginal,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,-4.024270449110024e-05,0.4666666666666667,15,0.0124227843220801,9.214896389792004e-05,0.6,0.0698572903484825,0.7333333333333333,15,-0.1522279682045133,0.4,5,2,0.4,True,True,-0.0010572377393112,0.0003081158388819,all,,4734,185,True,Conditional/validation-cutoff-dependent,18,0,7,5,6,0,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited,Setup-dependent,Paired country-cluster bootstrap across algorithms and prespecified validation geometries; point-estimate verdict retained only for audit comparison.,False,No additional material-cell qualification beyond the five-way verdict and cross-setup guardrail.
