sample_id,signal,target_role,target,universe,validation,split_id,algorithm,r2_base,mae_base,median_ae_base,base_model,added_model,r2_added,mae_added,median_ae_added,delta_r2,delta_mae,delta_median_ae
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_0,ElasticNet,0.4277605526119229,0.5828693914767492,0.3693495288672017,M1_Macro,M2_Macro_Oil,0.4336272254949711,0.5842061296238288,0.3740719060834525,0.005866672883048207,0.0013367381470795747,0.004722377216250795
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_0,RandomForest,0.417868240086036,0.5988046206147472,0.3953896273439412,M1_Macro,M2_Macro_Oil,0.3404515629702233,0.641327474296727,0.3866729233304006,-0.07741667711581274,0.04252285368197983,-0.008716704013540577
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_0,Ridge,0.4292884290219275,0.579723605435341,0.3650313270674796,M1_Macro,M2_Macro_Oil,0.4345743844505942,0.5818487381147894,0.3781072617161547,0.005285955428666722,0.0021251326794484715,0.013075934648675125
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_1,ElasticNet,0.438488162677354,0.5797956340928537,0.4215341960075697,M1_Macro,M2_Macro_Oil,0.4427480921045028,0.5763437405552317,0.4242368827826299,0.0042599294271487564,-0.003451893537621986,0.0027026867750601924
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_1,RandomForest,0.3681975570146568,0.6002802373644401,0.4224479437880243,M1_Macro,M2_Macro_Oil,0.4118768432437422,0.589623903404125,0.4198032952733422,0.0436792862290854,-0.010656333960315179,-0.002644648514682102
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_1,Ridge,0.43820757992984,0.5789852145429941,0.4192165301473411,M1_Macro,M2_Macro_Oil,0.4425336532605869,0.5757027881522204,0.4246532279598106,0.004326073330746916,-0.003282426390773696,0.005436697812469471
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_2,ElasticNet,0.1914948193358695,0.7173580360980761,0.4467814808134006,M1_Macro,M2_Macro_Oil,0.1992838002991745,0.7067299907362673,0.4379330125394551,0.007788980963304992,-0.010628045361808836,-0.008848468273945476
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_2,RandomForest,0.2120057407145616,0.7196885968274414,0.4481024481564829,M1_Macro,M2_Macro_Oil,0.1815024509923073,0.7135910318728644,0.4304189072854039,-0.0305032897222543,-0.006097564954576917,-0.01768354087107904
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_2,Ridge,0.1889738854260114,0.717053365180351,0.4461085401303173,M1_Macro,M2_Macro_Oil,0.1971935886339145,0.7058555242054787,0.4325077383177634,0.008219703207903106,-0.011197840974872308,-0.013600801812553909
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_3,ElasticNet,0.4370622939001132,0.6988805480061889,0.4586289644905168,M1_Macro,M2_Macro_Oil,0.4333277133363262,0.7120947572168825,0.4799126773639902,-0.0037345805637870044,0.013214209210693606,0.02128371287347336
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_3,RandomForest,0.3742888601734611,0.709646103187478,0.4202898102812207,M1_Macro,M2_Macro_Oil,0.395144822660179,0.7191037237638289,0.4447596962155309,0.020855962486717894,0.009457620576350911,0.02446988593431021
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,fold_3,Ridge,0.4381365206017511,0.6960375941570933,0.4529445975885705,M1_Macro,M2_Macro_Oil,0.4338918334070948,0.7101200795461966,0.4773996038738516,-0.004244687194656316,0.014082485389103283,0.024455006285281133
