signal,target_role,target,universe,validation,comparisons,median_delta_r2,mean_delta_r2,positive_share,median_delta_mae,mae_improvement_share,minimum_delta_r2,maximum_delta_r2
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,15,0.004326073330746916,0.0008941276970456288,0.7333333333333333,-0.0032185739319909867,0.6,-0.07741667711581274,0.0436792862290854
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,15,0.005859181697113219,0.00873158849405659,0.9333333333333333,-0.004354456075796431,1.0,-0.0008919499539168096,0.02573480531779221
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,15,0.0060629366052872835,0.01190154015406662,0.6666666666666666,-0.00731890029333182,0.6,-0.015719110880464626,0.09077024763916319
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,15,0.002952172698755501,0.003205014326032394,0.8666666666666667,-0.0037493549054827824,0.9333333333333333,-0.015846953829613708,0.025807704746110216
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,15,0.001611144859413105,0.0011051833926318218,0.6666666666666666,-0.001608007548643542,0.8,-0.07356764952286832,0.05182413312138931
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,15,0.0015564600539200724,0.00591668517222253,0.9333333333333333,-0.0029997588951635734,0.8666666666666667,-0.027145145105855084,0.03945401485369909
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,15,0.013880129987570489,0.021168540343289632,0.8666666666666667,0.0019804629696927867,0.4666666666666667,-0.0028985287392340187,0.1026199855425512
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,15,0.010931184404254612,0.013912318527040269,1.0,-0.008437855576594044,1.0,0.001170333776431609,0.04642058214534017
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,15,0.0013580061265168197,0.004634757321283703,0.6,-0.0001362433603467883,0.5333333333333333,-0.02821770348349162,0.04705693028801411
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,15,0.005095715667369161,0.0043310269911262834,0.8,-0.0058085722635425885,0.9333333333333333,-0.014634027943037586,0.02861356415324523
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,15,0.009883098814339797,0.014164350133803065,1.0,0.009161352307733184,0.4666666666666667,0.003947057787035413,0.03649771426891901
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,15,0.007849969997337697,0.01184083804106613,1.0,-0.044926937334852646,1.0,0.007462912946695044,0.02605125852237719
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,15,0.006872695734893908,0.001084215355019578,0.6666666666666666,0.004155793476531056,0.4666666666666667,-0.04776451407940291,0.04129755398809809
Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,15,-1.669397110901083e-05,-0.0029677177114895387,0.4666666666666667,-0.07239447425829759,0.8,-0.02043058974270362,0.005402850351370614
