Country Name,ISO3,Max_Oil_Rents_1990_2021,Legacy_Target_Observations,Corrected_Flow_Observations,Previously_Excluded,Restored_By_Corrected_Flow,Nigeria,Oil_Rent_Intensive_ge1p0pct,Oil_Rent_Intensive_ge5p0pct,Oil_Rent_Intensive_ge10p0pct,Oil_Rent_Intensive_ge15p0pct
Afghanistan,AFG,0.109823883946021,0,32,True,True,False,False,False,False,False
Albania,ALB,4.8458773941323,27,33,False,False,False,True,False,False,False
Algeria,DZA,29.5343935472454,27,35,False,False,False,True,True,True,True
American Samoa,ASM,0.0,0,0,True,False,False,False,False,False,False
Andorra,AND,,0,6,True,True,False,False,False,False,False
Angola,AGO,57.5134839616206,27,35,False,False,False,True,True,True,True
Antigua and Barbuda,ATG,0.0,0,35,True,True,False,False,False,False,False
Argentina,ARG,4.58801102253871,27,35,False,False,False,True,False,False,False
Armenia,ARM,0.0,27,33,False,False,False,False,False,False,False
Aruba,ABW,0.001956400084591,0,35,True,True,False,False,False,False,False
Australia,AUS,1.18927836382777,27,35,False,False,False,True,False,False,False
Austria,AUT,0.0884445033789297,27,35,False,False,False,False,False,False,False
Azerbaijan,AZE,39.5813073807196,27,32,False,False,False,True,True,True,True
"Bahamas, The",BHS,0.0,0,35,True,True,False,False,False,False,False
Bahrain,BHR,37.0437374677071,0,35,True,True,False,True,True,True,True
Bangladesh,BGD,0.207602557921387,27,35,False,False,False,False,False,False,False
Barbados,BRB,0.44650222837092,0,35,True,True,False,False,False,False,False
Belarus,BLR,1.78844487580508,27,33,False,False,False,True,False,False,False
Belgium,BEL,0.048118822461714,24,35,False,False,False,False,False,False,False
Belize,BLZ,5.39177359139515,0,35,True,True,False,True,True,False,False
Benin,BEN,1.5756167070246,0,35,True,True,False,True,False,False,False
Bermuda,BMU,0.0,0,28,True,True,False,False,False,False,False
Bhutan,BTN,0.0,0,29,True,True,False,False,False,False,False
Bolivia,BOL,7.33080300030145,0,35,True,True,False,True,True,False,False
Bosnia and Herzegovina,BIH,0.0,25,27,False,False,False,False,False,False,False
Botswana,BWA,0.0,27,35,False,False,False,False,False,False,False
Brazil,BRA,2.60445733698427,26,35,False,False,False,True,False,False,False
British Virgin Islands,VGB,,0,35,True,True,False,False,False,False,False
Brunei Darussalam,BRN,30.6838382585785,27,35,False,False,False,True,True,True,True
Bulgaria,BGR,0.105709691779651,27,35,False,False,False,False,False,False,False
Burkina Faso,BFA,0.0,0,35,True,True,False,False,False,False,False
Burundi,BDI,0.0,27,30,False,False,False,False,False,False,False
Cabo Verde,CPV,0.0,0,35,True,True,False,False,False,False,False
Cambodia,KHM,0.0410317572268778,27,33,False,False,False,False,False,False,False
Cameroon,CMR,8.68450877617334,0,35,True,True,False,True,True,False,False
Canada,CAN,2.82978528865474,27,35,False,False,False,True,False,False,False
Cayman Islands,CYM,0.0,0,35,True,True,False,False,False,False,False
Central African Republic,CAF,0.0,0,35,True,True,False,False,False,False,False
Chad,TCD,32.6666259924004,0,35,True,True,False,True,True,True,True
Channel Islands,CHI,,0,0,True,False,False,False,False,False,False
Chile,CHL,0.378183852893491,27,35,False,False,False,False,False,False,False
China,CHN,5.54445902741075,0,35,True,True,False,True,True,False,False
Colombia,COL,6.932640671944,27,35,False,False,False,True,True,False,False
Comoros,COM,0.0,0,35,True,True,False,False,False,False,False
"Congo, Dem. Rep.",COD,2.83293568116403,0,35,True,True,False,True,False,False,False
"Congo, Rep.",COG,55.9533665542603,0,35,True,True,False,True,True,True,True
Costa Rica,CRI,0.177814056910713,27,35,False,False,False,False,False,False,False
Croatia,HRV,0.630971359439616,27,33,False,False,False,False,False,False,False
Cuba,CUB,2.02585670473765,0,0,True,False,False,True,False,False,False
Curaçao,CUW,,0,14,True,True,False,False,False,False,False
Cyprus,CYP,0.0150445662460913,0,35,True,True,False,False,False,False,False
Czechia,CZE,0.0508088454131561,27,32,False,False,False,False,False,False,False
Côte d'Ivoire,CIV,3.70627347527892,0,35,True,True,False,True,False,False,False
Denmark,DNK,1.70355050889399,27,35,False,False,False,True,False,False,False
Djibouti,DJI,0.0,0,35,True,True,False,False,False,False,False
Dominica,DMA,0.0,0,35,True,True,False,False,False,False,False
Dominican Republic,DOM,0.0,0,35,True,True,False,False,False,False,False
Ecuador,ECU,18.654574856841,0,35,True,True,False,True,True,True,True
"Egypt, Arab Rep.",EGY,16.9450404713831,27,35,False,False,False,True,True,True,True
El Salvador,SLV,0.577913009476031,0,33,True,True,False,False,False,False,False
