signal,threshold_delta_r2,units,units_meeting_probability_rule,share_meeting_probability_rule
Oil_Rents_GDP_Pct_lag1,1.7347234759768068e-17,180,101,0.5611111111111111
Oil_Rents_GDP_Pct_lag1,0.0005,180,96,0.5333333333333333
Oil_Rents_GDP_Pct_lag1,0.001,180,94,0.5222222222222223
Oil_Rents_GDP_Pct_lag1,0.0015,180,86,0.4777777777777778
Oil_Rents_GDP_Pct_lag1,0.002,180,79,0.4388888888888889
Oil_Rents_GDP_Pct_lag1,0.0025,180,73,0.40555555555555556
Oil_Rents_GDP_Pct_lag1,0.003,180,68,0.37777777777777777
Oil_Rents_GDP_Pct_lag1,0.0035,180,65,0.3611111111111111
Oil_Rents_GDP_Pct_lag1,0.004,180,58,0.32222222222222224
Oil_Rents_GDP_Pct_lag1,0.0045,180,47,0.2611111111111111
Oil_Rents_GDP_Pct_lag1,0.005,180,44,0.24444444444444444
Oil_Rents_GDP_Pct_lag1,0.0055,180,44,0.24444444444444444
Oil_Rents_GDP_Pct_lag1,0.006,180,41,0.22777777777777777
Oil_Rents_GDP_Pct_lag1,0.0065,180,34,0.18888888888888888
Oil_Rents_GDP_Pct_lag1,0.007,180,31,0.17222222222222222
Oil_Rents_GDP_Pct_lag1,0.0075,180,26,0.14444444444444443
Oil_Rents_GDP_Pct_lag1,0.008,180,24,0.13333333333333333
Oil_Rents_GDP_Pct_lag1,0.0085,180,24,0.13333333333333333
Oil_Rents_GDP_Pct_lag1,0.009,180,22,0.12222222222222222
Oil_Rents_GDP_Pct_lag1,0.0095,180,21,0.11666666666666667
Oil_Rents_GDP_Pct_lag1,0.01,180,19,0.10555555555555556
Oil_Rents_GDP_Pct_lag1,0.0105,180,18,0.1
Oil_Rents_GDP_Pct_lag1,0.011,180,15,0.08333333333333333
Oil_Rents_GDP_Pct_lag1,0.0115,180,12,0.06666666666666667
Oil_Rents_GDP_Pct_lag1,0.012,180,9,0.05
Oil_Rents_GDP_Pct_lag1,0.0125,180,8,0.044444444444444446
Oil_Rents_GDP_Pct_lag1,0.013,180,8,0.044444444444444446
Oil_Rents_GDP_Pct_lag1,0.0135,180,6,0.03333333333333333
Oil_Rents_GDP_Pct_lag1,0.014,180,6,0.03333333333333333
