signal,target_role,target,universe,sample_id,split_id,comparisons,median_delta_r2,positive_share,median_delta_mae,mae_improvement_share,benchmark_comparisons,median_model_minus_benchmark_r2,benchmark_positive_share,median_model_minus_benchmark_mae,benchmark_mae_improvement_share,train_end,test_start,country_years,countries,nigeria_included,universe_threshold,cutoff_verdict
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,train_to_2012__test_from_2013,3,0.004697635792036,1.0,-0.0044024529127367,1.0,3,0.2091360017111475,1.0,-0.0229748371876319,1.0,2012,2013,4734,185,True,,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,train_to_2014__test_from_2015,3,0.0052318124207225,1.0,-0.0038757206646365,1.0,3,0.2258210389878826,1.0,-0.0244303406112883,1.0,2014,2015,4734,185,True,,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,train_to_2015__test_from_2016,3,0.0058126521768004,1.0,-0.003818208973826,1.0,3,0.199998299307263,1.0,-0.2820068304392018,1.0,2015,2016,4734,185,True,,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,train_to_2016__test_from_2017,3,0.0058591816971132,0.6666666666666666,-0.0037996980369973,1.0,3,0.2028365216959492,1.0,-0.2828206100382112,1.0,2016,2017,4734,185,True,,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,train_to_2018__test_from_2019,3,0.0093199266211604,1.0,-0.0046927552527135,1.0,3,0.1554286313942106,1.0,-0.2733579707700516,1.0,2018,2019,4734,185,True,,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,train_to_2012__test_from_2013,3,0.0017558225541936,1.0,-0.0027278782476833,1.0,3,0.1999379119504519,1.0,-0.0183635650241501,0.6666666666666666,2012,2013,776,34,True,10.0,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,train_to_2014__test_from_2015,3,0.0025548170069829,1.0,-0.0030540776290068,1.0,3,0.2098551161413679,1.0,-0.0136330887419822,0.6666666666666666,2014,2015,776,34,True,10.0,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,train_to_2015__test_from_2016,3,0.0029521726987555,1.0,-0.0037493549054827,1.0,3,0.2120354478523599,1.0,-0.0174031871282369,0.6666666666666666,2015,2016,776,34,True,10.0,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,train_to_2016__test_from_2017,3,0.0032930454851097,0.6666666666666666,-0.0033686693121836,0.6666666666666666,3,0.2049523754129239,1.0,-0.0044923263056382,0.6666666666666666,2016,2017,776,34,True,10.0,Supported
Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,train_to_2018__test_from_2019,3,0.0050081467838087,0.6666666666666666,-0.004775122339667,1.0,3,0.2531326403928101,1.0,-0.0307749696661088,0.6666666666666666,2018,2019,776,34,True,10.0,Supported
