signal,country_universe,matched_rows_P_N_and_countries,benchmark_positive_units_P_N,median_point_model_minus_benchmark_r2_P_N,median_point_signal_increment_r2_P_N,unit_verdicts_M_Mg_SD_U_CL_P_N,setup_verdict_P_N
Oil rents (t-1),All,"4,735 / 4,734 (185)",18 / 18,0.25673 / 0.20243,0.00865 / 0.00568,5/11/2/0/0 / 2/14/2/0/0,Marginal / Marginal
Oil rents (t-1),>=1%,"1,690 / 1,689 (69)",18 / 18,0.20928 / 0.20545,0.01205 / 0.01044,10/5/3/0/0 / 11/4/3/0/0,Marginal / Material
Oil rents (t-1),>=5%,"1,077 / 1,076 (45)",18 / 18,0.15840 / 0.18630,0.00253 / 0.00502,0/7/10/1/0 / 2/9/7/0/0,Setup-dependent / Marginal
Oil rents (t-1),>=10%,777 / 776 (34),18 / 18,0.16916 / 0.20267,-0.00001 / 0.00275,0/2/11/2/3 / 1/9/4/1/3,Setup-dependent / Setup-dependent
Oil rents (t-1),>=15%,680 / 679 (30),17 / 17,0.06657 / 0.12048,-0.00445 / 0.00147,0/1/11/3/3 / 0/2/10/3/3,Setup-dependent / Setup-dependent
Regulatory Quality (t-1),All,"3,829 / 3,828 (184)",18 / 18,0.25826 / 0.22433,0.00251 / 0.00560,0/14/2/2/0 / 4/10/2/2/0,Setup-dependent / Setup-dependent
Regulatory Quality (t-1),>=1%,"1,391 / 1,390 (69)",18 / 18,0.18848 / 0.20414,0.00005 / 0.00081,0/5/7/6/0 / 0/7/8/3/0,Setup-dependent / Setup-dependent
Regulatory Quality (t-1),>=5%,893 / 892 (45),18 / 18,0.14118 / 0.18196,0.00146 / 0.00070,0/10/7/1/0 / 0/8/5/5/0,Setup-dependent / Setup-dependent
Regulatory Quality (t-1),>=10%,655 / 654 (34),18 / 18,0.15593 / 0.19756,0.00132 / -0.00000,0/7/5/3/3 / 0/5/6/4/3,Setup-dependent / Setup-dependent
Regulatory Quality (t-1),>=15%,571 / 570 (30),15 / 18,0.05142 / 0.10503,-0.00099 / -0.00222,0/1/4/10/3 / 0/1/6/8/3,Setup-dependent / Setup-dependent
