signal,signal_label,target_role,universe,universe_label,matched_rows,matched_countries,benchmark_positive_units_of_18,median_point_model_minus_benchmark_r2,median_point_signal_increment_r2,material_units,marginal_units,setup_dependent_units,unsupported_units,coverage_limited_units,setup_verdict
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),primary,All_Eligible,All,4735,185,18,0.25673269117865977,0.00864765512984355,5,11,2,0,0,Marginal
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),primary,Oil_Rent_Intensive_Pre2016_ge1pct,>=1%,1690,69,18,0.2092811464322049,0.01204749812474565,10,5,3,0,0,Marginal
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),primary,Oil_Rent_Intensive_Pre2016_ge5pct,>=5%,1077,45,18,0.15839587860138324,0.00253415856873455,0,7,10,1,0,Setup-dependent
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),primary,Oil_Rent_Intensive_Pre2016_ge10pct,>=10%,777,34,18,0.169159040651243,-6.2639993262947335e-06,0,2,11,2,3,Setup-dependent
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),primary,Oil_Rent_Intensive_Pre2016_ge15pct,>=15%,680,30,17,0.0665711006003486,-0.0044450881628714505,0,1,11,3,3,Setup-dependent
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),normalized,All_Eligible,All,4734,185,18,0.2024343377884777,0.0056845166329218995,2,14,2,0,0,Marginal
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge1pct,>=1%,1689,69,18,0.2054489886838572,0.010442510786465551,11,4,3,0,0,Material
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge5pct,>=5%,1076,45,18,0.18629563599397947,0.00502215796384905,2,9,7,0,0,Marginal
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge10pct,>=10%,776,34,18,0.202671081665845,0.0027534948528691,1,9,4,1,3,Setup-dependent
Oil_Rents_GDP_Pct_lag1,Oil rents (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge15pct,>=15%,679,30,17,0.120481026819941,0.00147079558301885,0,2,10,3,3,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),primary,All_Eligible,All,3829,184,18,0.2582582546459882,0.0025052519059935,0,14,2,2,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),primary,Oil_Rent_Intensive_Pre2016_ge1pct,>=1%,1391,69,18,0.1884814345326543,4.992883233401191e-05,0,5,7,6,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),primary,Oil_Rent_Intensive_Pre2016_ge5pct,>=5%,893,45,18,0.1411758161935519,0.0014559918142106002,0,10,7,1,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),primary,Oil_Rent_Intensive_Pre2016_ge10pct,>=10%,655,34,18,0.15593245194888733,0.00131578264617455,0,7,5,3,3,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),primary,Oil_Rent_Intensive_Pre2016_ge15pct,>=15%,571,30,15,0.051416072299459395,-0.0009859968242801002,0,1,4,10,3,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),normalized,All_Eligible,All,3828,184,18,0.22433445637154803,0.0056024731462031505,4,10,2,2,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge1pct,>=1%,1390,69,18,0.20413739918678847,0.00081406358625385,0,7,8,3,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge5pct,>=5%,892,45,18,0.18196260516081036,0.0006961489856238,0,8,5,5,0,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge10pct,>=10%,654,34,18,0.19756094462327164,-1.8718780980808702e-07,0,5,6,4,3,Setup-dependent
Regulatory_Quality_lag1,Regulatory Quality (t-1),normalized,Oil_Rent_Intensive_Pre2016_ge15pct,>=15%,570,30,18,0.10502666942613,-0.0022202586939923,0,1,6,8,3,Setup-dependent
