signal,target_role,universe,validation,algorithm,model,min_r2,median_r2,max_r2,r2_range
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,ElasticNet,M1_Macro,0.1914948193358695,0.4277605526119229,0.438488162677354,0.2469933433414845
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.1992838002991745,0.4333277133363262,0.4427480921045028,0.24346429180532828
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,RandomForest,M1_Macro,0.2120057407145616,0.3742888601734611,0.417868240086036,0.2058624993714744
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.1815024509923073,0.395144822660179,0.4118768432437422,0.23037439225143488
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,Ridge,M1_Macro,0.1889738854260114,0.4292884290219275,0.43820757992984,0.2492336945038286
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.1971935886339145,0.4338918334070948,0.4425336532605869,0.2453400646266724
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,ElasticNet,M1_Macro,0.1259802135073741,0.183515644985993,0.2618476826953628,0.1358674691879887
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,ElasticNet,M2_Macro_Oil,0.134690744757797,0.189072026075036,0.2662929137039237,0.13160216894612672
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,RandomForest,M1_Macro,0.1616425732928103,0.1786244394067843,0.246290765206222,0.08464819191341172
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,RandomForest,M2_Macro_Oil,0.165719339169068,0.2043592447245765,0.2593159674803992,0.0935966283113312
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,Ridge,M1_Macro,0.1225921424490701,0.181225519324493,0.2601796044953757,0.1375874620463056
Oil_Rents_GDP_Pct_lag1,normalized,All_Eligible,Future_Period,Ridge,M2_Macro_Oil,0.1319120690702305,0.1870381715012934,0.2648772402874118,0.13296517121718127
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,ElasticNet,M1_Macro,0.2209303706272222,0.3542982446385353,0.4738384849349176,0.2529081143076954
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.2282351269018276,0.3591923819703498,0.4595459616851332,0.23131083478330558
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,RandomForest,M1_Macro,0.1582429518823974,0.2999836840298258,0.3143639427224078,0.1561209908400104
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.2490131995215606,0.3053282100974935,0.3450446427773898,0.09603144325582919
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,Ridge,M1_Macro,0.219830401857855,0.3534652892061318,0.4749429314605646,0.2551125296027096
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.2280671428385219,0.3508317243945442,0.4592238205801,0.23115667774157808
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,ElasticNet,M1_Macro,0.1761685034089116,0.2324855424705789,0.2631604361674997,0.08699193275858808
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,ElasticNet,M2_Macro_Oil,0.1811766501927203,0.2347647210706795,0.2664534816526094,0.0852768314598891
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,RandomForest,M1_Macro,0.1692894358996045,0.1848960231837065,0.2636317808555302,0.0943423449559257
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,RandomForest,M2_Macro_Oil,0.1790245797602982,0.1942406078361428,0.2492212132370665,0.0701966334767683
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,Ridge,M1_Macro,0.1719806703944031,0.2306807116678627,0.26123303070445,0.08925236031004688
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,Ridge,M2_Macro_Oil,0.1774387253471877,0.2332355286748456,0.2648518076420428,0.08741308229485512
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,ElasticNet,M1_Macro,0.1487964992587807,0.3817131005460672,0.4911615432534008,0.3423650439946201
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.1470663865734598,0.3837590337221694,0.4953106145305337,0.3482442279570739
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,RandomForest,M1_Macro,0.1008476939478152,0.312181255661892,0.4272603029398049,0.32641260899198965
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,RandomForest,M2_Macro_Oil,0.1354043985805169,0.3230006510594647,0.4345510782524014,0.2991466796718845
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M1_Macro,0.148376872342403,0.3772023798757976,0.4929304840987062,0.3445536117563032
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,Ridge,M2_Macro_Oil,0.1459055081795131,0.3788135247352107,0.4975117448703081,0.351606236690795
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M1_Macro,0.2922897210598506,0.3117038371973047,0.3567945528357839,0.06450483177593325
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,ElasticNet,M2_Macro_Oil,0.2951445632120318,0.3130889683094224,0.3578978139342814,0.06275325072224958
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M1_Macro,0.180007150518585,0.1837936708739066,0.2575668330331375,0.07755968251455247
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,RandomForest,M2_Macro_Oil,0.1932934216446831,0.2215035431699435,0.2304216879272824,0.0371282662825993
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M1_Macro,0.2886871760997338,0.3098146570848122,0.3557428336573831,0.06705565755764925
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,Ridge,M2_Macro_Oil,0.2917616615189137,0.3114420467757307,0.3570653245229999,0.06530366300408619
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,ElasticNet,M1_Macro,0.2232097350113659,0.3715928453228575,0.4415115955753169,0.21830186056395098
