signal,permutation,permutation_seed,bootstrap_seed,countries_N,bootstrap_replicates,bootstrap_median_delta_r2,p_delta_r2_gt_0,ci_low_delta_r2,ci_high_delta_r2,exact_N_draws
Oil_Rents_GDP_Pct_lag1,0,1666912442,3346995035,185,500,0.00030246096438985015,0.98,2.268874301709635e-05,0.0005805403843155171,True
Oil_Rents_GDP_Pct_lag1,1,2441805644,122276707,185,500,-1.2779907207771668e-05,0.478,-0.0006818109850264982,0.000687398548128634,True
Oil_Rents_GDP_Pct_lag1,2,2549793742,2939914466,185,500,-0.00025841137329357666,0.122,-0.000647456580121397,0.0001911884967448734,True
Oil_Rents_GDP_Pct_lag1,3,3736512047,518787191,185,500,-8.899820349711485e-05,0.372,-0.0005996103361523451,0.00044952286450330444,True
Oil_Rents_GDP_Pct_lag1,4,3407444889,680232737,185,500,0.0002997167755091068,0.918,-0.00011830068203301495,0.000697307630333718,True
Oil_Rents_GDP_Pct_lag1,5,400704907,2844615441,185,500,-0.0003585150224901801,0.104,-0.001015829963425402,0.00017875718855583632,True
Oil_Rents_GDP_Pct_lag1,6,1238786272,2631157963,185,500,-0.00017543863079094724,0.212,-0.0005854579777065492,0.0002502883858970153,True
Oil_Rents_GDP_Pct_lag1,7,832619568,236933444,185,500,-0.00011862250903044158,0.236,-0.0004823458848326828,0.00026948423876586023,True
Oil_Rents_GDP_Pct_lag1,8,495254615,548972008,185,500,-0.0002945755040716924,0.184,-0.0010450786250282922,0.000393361843306239,True
Oil_Rents_GDP_Pct_lag1,9,2145356703,21635741,185,500,-0.0005065769899624817,0.186,-0.0016297200767656365,0.0005060665915412736,True
Oil_Rents_GDP_Pct_lag1,10,2253341109,1931416346,185,500,-8.827795231702851e-05,0.392,-0.0007358464679121683,0.0005554553838385932,True
Oil_Rents_GDP_Pct_lag1,11,30729680,138210298,185,500,-0.0005313885882073377,0.068,-0.0012351204023073048,0.00015631945344381752,True
Oil_Rents_GDP_Pct_lag1,12,874915908,262629784,185,500,-0.00011934524382656297,0.234,-0.0004031651907898281,0.00020663587956961648,True
Oil_Rents_GDP_Pct_lag1,13,1986592511,2422824864,185,500,1.0702494455117062e-05,0.514,-0.0006090522689024322,0.0005766201940642166,True
Oil_Rents_GDP_Pct_lag1,14,2818097882,2006694090,185,500,5.844100255664175e-05,0.558,-0.0005368168157633188,0.0007992449264715175,True
Oil_Rents_GDP_Pct_lag1,15,1556821399,91604261,185,500,2.9222288370434057e-05,0.522,-0.0005158774645043021,0.000580967937284035,True
Oil_Rents_GDP_Pct_lag1,16,4174551242,3870024670,185,500,-0.0005103861887408856,0.114,-0.0015294212255760106,0.0003667112542042623,True
Oil_Rents_GDP_Pct_lag1,17,3338435393,663838910,185,500,0.00011276606025140135,0.646,-0.0004443430413855058,0.0006330830980658562,True
Oil_Rents_GDP_Pct_lag1,18,4101804846,2117938839,185,500,-0.0008484384702304171,0.026,-0.0018474832939124886,8.37639111503003e-06,True
Oil_Rents_GDP_Pct_lag1,19,1215362800,3214959320,185,500,4.9326215890932446e-05,0.55,-0.0007500907324352373,0.0008411441638876913,True
Regulatory_Quality_lag1,0,1506587686,26674444,184,500,0.0008580264904530788,0.978,2.8908215501427584e-05,0.0015648858612278796,True
Regulatory_Quality_lag1,1,2386207059,2381116322,184,500,-5.744607425250958e-06,0.496,-0.0010888930366019065,0.000985333866461843,True
Regulatory_Quality_lag1,2,2441562144,551510209,184,500,0.0004824549936927047,0.924,-0.0002045333149697707,0.0011812858094911278,True
Regulatory_Quality_lag1,3,3539785684,4281912702,184,500,1.225995544085201e-06,0.504,-0.001083904323334175,0.0007774204890672985,True
Regulatory_Quality_lag1,4,1429585152,1398954757,184,500,0.0003917751849943918,0.828,-0.0004886294338838773,0.001218177918859556,True
Regulatory_Quality_lag1,5,2996205623,747409736,184,500,-0.00019393375455833972,0.268,-0.0009255462543924176,0.0004140125181181228,True
Regulatory_Quality_lag1,6,1092401324,1615732910,184,500,-0.0003506265244995199,0.146,-0.0009337154099994886,0.0003247609205589223,True
Regulatory_Quality_lag1,7,1085334303,3252069478,184,500,0.0006478528077341061,0.906,-0.00033206141905996737,0.0016914905334117038,True
