sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json,prediction_span,target_span
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,ElasticNet,M1_Macro,0.3403609562273851,3.205422334791976,1.9239907490907424,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-15.491488277662029,4.466482421920004,51.633950402803634,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",67.12543868046566,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,ElasticNet,M2_Macro_Oil,0.3362788790768997,3.241646404684192,2.001852097705185,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-15.217886198957174,4.4893488110044,51.85140229440063,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",67.0692884933578,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,RandomForest,M1_Macro,-39.91038566663989,11.732087879986674,1.2022537461688036,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-7.844345130863698,2.920327929716234,221.39683926235608,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",229.24118439321978,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,RandomForest,M2_Macro_Oil,-16.556780757226054,8.552289979070842,1.26404677987177,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-5.510607424658996,3.0616816647083187,150.835546911712,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",156.34615433637097,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,Ridge,M1_Macro,0.3373270452578218,3.222185300110418,1.9770801488370096,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-15.477113960875524,4.4563594796644,51.9441718402175,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",67.42128580109302,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,Ridge,M2_Macro_Oil,0.3330656277699347,3.261835782562388,2.0539304991788394,4.531011249621557,6.785407989123179,-31.55204544605841,-6.275232549159464,2.739176575463966,26.033950859722943,74.81692614872443,-15.196907523099398,4.499974310541153,52.16655495235656,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",67.36346247545596,106.36897159478285
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,ElasticNet,M1_Macro,0.4691420603370694,3.043688234972991,2.14403826199991,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-7.124728247869294,4.0921503177206935,42.5735337952734,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",49.69826204314269,74.72367330444438
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,ElasticNet,M2_Macro_Oil,0.4724833563084434,3.013631355690042,2.1224735617085364,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-7.163042383552875,4.1249582205509245,42.66845269506712,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",49.831495078619994,74.72367330444438
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,RandomForest,M1_Macro,0.4142478985902748,2.471165092766103,1.2798576809437514,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-9.093364793171482,2.875057574249568,53.76061846898303,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",62.853983262154514,74.72367330444438
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,RandomForest,M2_Macro_Oil,0.3815781249698613,2.499738759480421,1.2706329890814654,4.104380071751251,6.319186726351915,-16.205300794119097,-2.805261377047512,2.3986366046527365,34.08650331568472,58.51837251032528,-4.3920605352985405,2.950741785754305,63.58514285614392,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",67.97720339144246,74.72367330444438
