sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,69,2000,69,69,34,44.0,52,25.0,True,0664155389dda599f3a3c964088226566d10bd88b7d6c471e2c637fa98dd1b53
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,e42a4c93a0c863aaa7073e5cd4ca163f0bb7a465a8b12009cf421cf2da25e4c6
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,68,2000,68,68,35,43.0,51,25.0,True,a9fdd019b6c23d8299ee6d5fea20a4881134b1c602842b3af318c2c527986ca2
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,Ridge,added_model_vs_strongest_benchmark,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,signal_increment,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,added_model_vs_strongest_benchmark,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,RandomForest,signal_increment,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,RandomForest,added_model_vs_strongest_benchmark,65,2000,65,65,31,41.0,53,24.0,True,2bd64a027f958e30c7c9d7bc8d644675620cb293d6f66d1a466fc08423c340ad
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,Ridge,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,Ridge,added_model_vs_strongest_benchmark,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,ElasticNet,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,ElasticNet,added_model_vs_strongest_benchmark,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,RandomForest,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,RandomForest,added_model_vs_strongest_benchmark,65,2000,65,65,33,41.0,49,24.0,True,86bd6d56637e090fd635a6c413de61c6a80921d11ebbde68392a30fcc4fd5718
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,Ridge,signal_increment,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,Ridge,added_model_vs_strongest_benchmark,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,ElasticNet,signal_increment,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,ElasticNet,added_model_vs_strongest_benchmark,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,RandomForest,signal_increment,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2018__test_from_2019,RandomForest,added_model_vs_strongest_benchmark,63,2000,63,63,32,40.0,47,23.0,True,66036f39bffd929805f8754bbe8e735e89a31b47c69e522a8fdcb46782d51640
