sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,184,2000,184,184,103,117.0,130,67.0,True,08eaa7d36a265fcef4f48174e5c8412e5641292b9449d5cd594ceef5bf81604f
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,182,2000,182,182,102,115.0,130,67.0,True,cd7e00f86ce90aa5f46707bf644e1b7cda2af81a24cc49fbe02432d5330a47ea
