sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,69,2000,69,69,35,44.0,52,25.0,True,7f62a6a2afb17f9eedc433b898cceb2c0c62c6d9247a60d77a3cc72fa2898cf6
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,6fc3c58464a876b2534f10066073dd6287c8e327130dfbd238ddc0882dbb0f3b
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,52,25.0,True,bbc91718ca241b29b3fb1e2505e8f75352389d55be267e56b20cd745e2f4f00f
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,Ridge,added_model_vs_strongest_benchmark,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,signal_increment,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,added_model_vs_strongest_benchmark,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,RandomForest,signal_increment,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2015__test_from_2016,RandomForest,added_model_vs_strongest_benchmark,66,2000,66,66,34,42.0,51,24.0,True,cc6277784c5f0e7ed56e13ad64aa2affbe503bc5220155b04fe13296487c75a4
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,Ridge,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,4a5a67504ebb7c4295a266b29a8d0adf9fdb1ff0da196cbb2e0abe5661d7f7d1
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,Ridge,added_model_vs_strongest_benchmark,65,2000,65,65,33,41.0,49,24.0,True,4a5a67504ebb7c4295a266b29a8d0adf9fdb1ff0da196cbb2e0abe5661d7f7d1
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,ElasticNet,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,4a5a67504ebb7c4295a266b29a8d0adf9fdb1ff0da196cbb2e0abe5661d7f7d1
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,ElasticNet,added_model_vs_strongest_benchmark,65,2000,65,65,33,41.0,49,24.0,True,4a5a67504ebb7c4295a266b29a8d0adf9fdb1ff0da196cbb2e0abe5661d7f7d1
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Oil_Rents_GDP_Pct_lag1,primary,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2016__test_from_2017,RandomForest,signal_increment,65,2000,65,65,33,41.0,49,24.0,True,4a5a67504ebb7c4295a266b29a8d0adf9fdb1ff0da196cbb2e0abe5661d7f7d1
