sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,69,2000,69,69,36,44.0,52,25.0,True,82655591668e61915fd09b4b8f747438345e8d60ea9fcdd79c42524f5eff63d3
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,68,2000,68,68,34,43.0,54,25.0,True,9b8f349c666092082140371d25500e23fb9e6f701b47ecc76d790444d89658b4
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,54,25.0,True,9b8f349c666092082140371d25500e23fb9e6f701b47ecc76d790444d89658b4
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,68,2000,68,68,34,43.0,54,25.0,True,9b8f349c666092082140371d25500e23fb9e6f701b47ecc76d790444d89658b4
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge1pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,68,2000,68,68,34,43.0,54,25.0,True,9b8f349c666092082140371d25500e23fb9e6f701b47ecc76d790444d89658b4
