sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,183,2000,183,183,103,116.0,131,67.0,True,b455dc1b341b03230570f95c68117932c160947681a44e2c9be32216c855e82c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,added_model_vs_strongest_benchmark,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,signal_increment,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,added_model_vs_strongest_benchmark,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,signal_increment,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,added_model_vs_strongest_benchmark,181,2000,181,181,100,115.0,128,66.0,True,6d3d458a5d9bc6cccfffc844222c6ea50670266eb96826d215fdd8b19e7439da
