sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,34,2000,34,34,14,22.0,29,12.0,True,aca893f6f759cae59754c9f6add5dbbac5a6b1d574c43fa40dd7617f108bd2d7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,33,2000,33,33,14,21.0,28,12.0,True,3b6b45d180455e2a33de6664556c07f9f9a23fa8f502d443bd2057ebc389d188
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,33,2000,33,33,16,21.0,28,12.0,True,f81ff9110dcdb94dd300a90f6ab9e04e1b1a54e8fd1803117baa3a3966259206
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,31,2000,31,31,14,20.0,26,11.0,True,ea96b09bc4ce1a214d698395fa192b0b79bd59e90c5ebe281a07a83b89777de5
