sample_id,signal,target_role,universe,validation,split_id,algorithm,comparison_type,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,signal_increment,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,added_model_vs_strongest_benchmark,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,signal_increment,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,added_model_vs_strongest_benchmark,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,signal_increment,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,added_model_vs_strongest_benchmark,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,signal_increment,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,added_model_vs_strongest_benchmark,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,signal_increment,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,added_model_vs_strongest_benchmark,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,signal_increment,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,added_model_vs_strongest_benchmark,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,signal_increment,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,added_model_vs_strongest_benchmark,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,signal_increment,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,added_model_vs_strongest_benchmark,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,signal_increment,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,added_model_vs_strongest_benchmark,183,2000,183,183,101,116.0,129,67.0,True,dff1d1302acd41e407102abcc16f3c483e12f14c1922ef014f2ec637a6b077df
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,signal_increment,180,2000,180,180,100,114.0,129,66.0,True,7e9da30b3c67e141a4fddabe5005c16de942c3809bd6244d2e80ca86bfb7c5cc
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,added_model_vs_strongest_benchmark,180,2000,180,180,100,114.0,129,66.0,True,7e9da30b3c67e141a4fddabe5005c16de942c3809bd6244d2e80ca86bfb7c5cc
