sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4734,185,1077648547,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0031103245528455448,0.0029922451113128523,0.003070287413374293,-0.0012206093268234432,0.00777104094393074,-0.00011807944153269245,0.00011807944153269245,0.913,0.5875,0.1955,0.0035,-0.000714630277672601,-0.0006501515353259935,-0.005523557737272971,0.003653981621973,Directionally positive but marginal,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.1540861057954236,0.15302127598345533,0.15403750476164327,0.10120122803988063,0.2095232231006701,-0.0010648298119682598,0.0010648298119682598,1.0,1.0,1.0,1.0,0.012736920064136292,0.012366711829858101,-0.007804776875364025,0.03352746218657371,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4734,185,1077648547,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.003179326321846032,0.003040875077879479,0.0031407385757381157,-0.0010446246347427326,0.007805888579465531,-0.00013845124396655306,0.00013845124396655306,0.923,0.6,0.1955,0.003,-0.0008751168930944964,-0.0007929193658070544,-0.005565683949351088,0.003312184912142776,Directionally positive but marginal,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.15426190744364976,0.1532144836263819,0.15422267290506947,0.1011611247265398,0.2104136953135254,-0.0010474238172678563,0.0010474238172678563,1.0,1.0,1.0,1.0,0.01422131276407923,0.013745264318028305,-0.006497618379980179,0.03521377770836845,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4734,185,1077648547,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.0010851669110931716,-0.00015856412788356478,-0.0010147775638351285,-0.03143354722661061,0.026193737993541043,0.0009266027832096069,0.0009266027832096069,0.4935,0.423,0.3475,0.218,0.003125439873792213,0.001974978398528504,-0.010612610281996884,0.02253992523851342,Setup-dependent,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4734,185,1077648547,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.1277790033014773,0.1279056873415595,0.12763153544066136,0.059398989554599185,0.20055210242935959,0.00012668404008220335,0.00012668404008220335,1.0,1.0,1.0,1.0,0.02721416822160172,0.026310286496854296,-0.0016481132173624409,0.05775299988330477,Supported and practically material,185,2000,185,185,101,117.0,132,68.0,True,177150ec11f8e52b792357b8690b11ba04ec2f9c640f2fbdcd2ab0856c208a85
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1765,184,4219930088,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.004697635792036303,0.004564732095249158,0.004683997206520642,0.0022450531469511066,0.007626113801942261,-0.00013290369678714553,0.00013290369678714553,1.0,0.9575,0.383,0.0,-0.004402452912736665,-0.004317809554945373,-0.007960181217737719,-0.0014214295027728592,Directionally positive but marginal,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1765,184,4219930088,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.20913600171114755,0.20699804566845365,0.20642169950000824,0.13774777320708956,0.27974585411291913,-0.0021379560426939004,0.0021379560426939004,1.0,1.0,1.0,1.0,-0.024602652546677706,-0.02356845001029545,-0.04970050265695109,0.002884208783898863,Supported and practically material,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1765,184,4219930088,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.004445231008560868,0.00433150968868351,0.00443309176723613,0.002228082280750338,0.007185230424045335,-0.0001137213198773579,0.0001137213198773579,1.0,0.947,0.307,0.0,-0.003981074824316422,-0.003905492487424389,-0.007288261935659615,-0.001219528941679363,Directionally positive but marginal,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1765,184,4219930088,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2105516751276595,0.20845848197719735,0.20778784478269186,0.13788281506836,0.28241517538820005,-0.002093193150462136,0.002093193150462136,1.0,1.0,1.0,1.0,-0.022974837187631714,-0.021780547334403766,-0.048447266885340755,0.005248394288959241,Supported and practically material,184,2000,184,184,103,117.0,129,67.0,True,4885449e7602620a09cfee13fc7cefc7b7940afa0d920f18a15d9a52c02d67a2
