sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,1076,45,2598312861,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0003052149236065782,0.00046203632753660795,0.0003934994679776424,-0.00843374406014804,0.009508976647044802,0.00015682140393002975,0.00015682140393002975,0.5345,0.306,0.1455,0.0205,-0.0008837753862437348,-0.0009229992821967459,-0.010040518358001968,0.009185524657412656,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,1076,45,2598312861,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12197841930758535,0.12391311843106156,0.12423576880260037,0.06287530019953061,0.19001878620420642,0.0019346991234762134,0.0019346991234762134,1.0,1.0,1.0,0.9995,0.026855817724478537,0.026741148725346386,-0.0009994961548472345,0.05521958154008934,Supported and practically material,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,1076,45,2598312861,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0011548445582726385,0.001223557637656969,0.0012510252059746633,-0.007188071990040947,0.01008660155986174,6.871307938433047e-05,6.871307938433047e-05,0.615,0.3705,0.18,0.027,-0.00229652429280236,-0.0023456241388836174,-0.011208971804733497,0.007159117653356676,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,1076,45,2598312861,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12400775541948661,0.1260206011883212,0.12630133212574798,0.06341748428855942,0.19264833101280418,0.0020128457688345924,0.0020128457688345924,1.0,1.0,1.0,0.9995,0.026731847679804632,0.026525712448694505,-0.0022605281855748974,0.05603221134337954,Supported and practically material,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,1076,45,2598312861,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.005738774649701295,0.005759158870530967,0.006111193822518779,-0.016504841752999728,0.030386492562286847,2.0384220829672284e-05,2.0384220829672284e-05,0.684,0.605,0.5275,0.3595,-0.002452587351943203,-0.0030843276859413016,-0.020614293633931347,0.016523334268014334,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,1076,45,2598312861,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.08163663366358376,0.08347723129727636,0.08316351634123922,0.0006163409095851812,0.15963619309276886,0.0018405976336925978,0.0018405976336925978,0.9765,0.973,0.97,0.9615,0.06600360115634052,0.06504283836518432,0.02481476906184879,0.11072384949254122,Supported and practically material,45,2000,45,45,22,29.0,36,16.0,True,93b1e11739a4c6f97fd61cc1ba1fe3cfa60e5061802926940277376a5ff2badd
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,Ridge,405,44,3649274875,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0035816917601112497,0.0035503994284999396,0.003604156587613361,-0.00041387027600735195,0.007952127602990288,-3.1292331611310065e-05,3.1292331611310065e-05,0.961,0.71,0.24,0.0005,-0.004743883814727123,-0.0047440306756821315,-0.010133337099543997,0.00016202482516129376,Directionally positive but marginal,44,2000,44,44,19,28.0,36,16.0,True,fcae5de1cda846e05625f5d1c16c40cec706418aadea3557f13e298fa57b8c12
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,Ridge,405,44,3649274875,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.18011745655841505,0.1841263439238452,0.18514849267365047,0.08347948171008016,0.29892800844552275,0.004008887365430147,0.004008887365430147,1.0,1.0,1.0,1.0,-0.011374504535486607,-0.012791895282529886,-0.05796970560957719,0.036782880765836475,Supported and practically material,44,2000,44,44,19,28.0,36,16.0,True,fcae5de1cda846e05625f5d1c16c40cec706418aadea3557f13e298fa57b8c12
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,405,44,3649274875,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.0039015605915695417,0.003872380036227363,0.003937549043677893,9.249770715111276e-05,0.008100776240477737,-2.918055534217867e-05,2.918055534217867e-05,0.9775,0.7625,0.2785,0.001,-0.004785643797736161,-0.004719731856444642,-0.010253088995917736,1.7492394429478656e-05,Directionally positive but marginal,44,2000,44,44,19,28.0,36,16.0,True,fcae5de1cda846e05625f5d1c16c40cec706418aadea3557f13e298fa57b8c12
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,405,44,3649274875,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.17998793419672643,0.18373177829782833,0.1850499344266599,0.08205275621553024,0.30012311122870144,0.003743844101101901,0.003743844101101901,1.0,1.0,1.0,1.0,-0.008914262227143643,-0.010586850636359335,-0.057217418996520185,0.041471569548417304,Supported and practically material,44,2000,44,44,19,28.0,36,16.0,True,fcae5de1cda846e05625f5d1c16c40cec706418aadea3557f13e298fa57b8c12
