sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4735,185,477862616,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.008653475667605326,0.008328895276114745,0.00866278800785783,0.0004909569599856561,0.01832306642511825,-0.00032458039149058093,0.00032458039149058093,0.982,0.9105,0.7825,0.3755,-0.001291834773457401,-0.0024465607801605893,-0.02619826890503693,0.026317144078097727,Directionally positive but marginal,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4735,185,477862616,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2505887147302073,0.2496753083246116,0.24970174681436355,0.16679222336135174,0.32970362877385556,-0.0009134064055956737,0.0009134064055956737,1.0,1.0,1.0,1.0,0.14704457303883167,0.14728303298434264,0.05497382102815539,0.2475818037737034,Supported and practically material,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4735,185,477862616,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.008641834592081898,0.008325196808300683,0.008651139907646061,0.000542125754802581,0.018155357608351245,-0.0003166377837812151,0.0003166377837812151,0.984,0.9135,0.784,0.373,-0.0014000347451115225,-0.0025180030046463298,-0.025843185366451863,0.02591377676291327,Directionally positive but marginal,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4735,185,477862616,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.2506801498524478,0.2497673171405998,0.2497875680847406,0.1663931073159609,0.3302077316381603,-0.0009128327118479995,0.0009128327118479995,1.0,1.0,1.0,1.0,0.14872280141682848,0.1489988436641727,0.05590113849825428,0.24957242371368774,Supported and practically material,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4735,185,477862616,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.023251311811062436,0.02271984090301571,0.022951971193983723,0.0007052138109642465,0.04542960727412517,-0.0005314709080467273,0.0005314709080467273,0.978,0.965,0.946,0.8725,-0.012015356642840702,-0.012324265324082151,-0.053085585633317764,0.027821353580052482,Supported and practically material,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4735,185,477862616,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.24943969669399713,0.2476378941691451,0.24782139817950682,0.15394950503990948,0.34645799872912153,-0.0018018025248520142,0.0018018025248520142,1.0,1.0,1.0,1.0,0.14530523029506415,0.14618598569389984,0.046394943159254146,0.25379137538725427,Supported and practically material,185,2000,185,185,103,117.0,133,68.0,True,057d4a8ee782477fadecc9205ebc7dc428b9b36ae5d9a914999f20c28b7222f9
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1766,184,2855299879,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.007849969997337558,0.00768840636670981,0.007979461857279562,0.00045285614555388504,0.01660800250233652,-0.00016156363062774792,0.00016156363062774792,0.9805,0.9045,0.7385,0.306,-0.033993443201380646,-0.03380745584008049,-0.049735242720112545,-0.019837318649901303,Directionally positive but marginal,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1766,184,2855299879,added_model_vs_strongest_benchmark,Training_Mean,M2_Macro_Oil,2000,0.25156330588921716,0.2528400242492974,0.252859026925997,0.147610849088298,0.36199167648024044,0.0012767183600802534,0.0012767183600802534,1.0,1.0,1.0,1.0,-1.2126839455992386,-1.211652469599348,-1.4507100400714172,-0.9865519279607046,Supported and practically material,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1766,184,2855299879,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.007735519921933776,0.007560968294558046,0.007860912923811704,0.0004798159576842077,0.016346442888070075,-0.0001745516273757297,0.0001745516273757297,0.981,0.903,0.735,0.2955,-0.033349854290272374,-0.0331423025690013,-0.04879277943079576,-0.019423856898178767,Directionally positive but marginal,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1766,184,2855299879,added_model_vs_strongest_benchmark,Training_Mean,M2_Macro_Oil,2000,0.251711931114018,0.2530523611019811,0.25301395803467924,0.14842006223617515,0.3614692655909914,0.0013404299879630766,0.0013404299879630766,1.0,1.0,1.0,1.0,-1.2090501247909493,-1.208119339345114,-1.4459088638502684,-0.9838987871751951,Supported and practically material,184,2000,184,184,103,116.0,132,68.0,True,315f951074312e4ffac98d7aac17892512bd2053a2ba5887eeeb073e5405469d
