sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,680,30,4090200281,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.00011005925801066407,-4.817491512948413e-05,-0.00015404756892352283,-0.006552286065143821,0.0058004608667105405,6.188434288117994e-05,6.188434288117994e-05,0.4935,0.1905,0.042,0.0005,-0.0034972990796067194,-0.0032678662474814324,-0.041637031742745766,0.039354169134489005,Setup-dependent,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,680,30,4090200281,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12849936790040783,0.13240189937665742,0.1334803849597688,0.031117314414996593,0.2405884419601976,0.003902531476249582,0.003902531476249582,0.9965,0.995,0.9945,0.991,0.5421635696693698,0.544629208719793,0.2892175056148474,0.827404273874991,Supported and practically material,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,680,30,4090200281,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.00016171384229979324,-0.00011151111854112994,-0.0002085842668941415,-0.0065900136315516075,0.005641534385761869,5.0202723758663303e-05,5.0202723758663303e-05,0.4875,0.186,0.0375,0.0005,-0.004178166740167466,-0.003884942684672321,-0.04228436591966199,0.03891584131147131,Setup-dependent,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,680,30,4090200281,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12877081925551548,0.13272606638377754,0.1338142429085472,0.03096087801360971,0.2421651578126975,0.003955247128262063,0.003955247128262063,0.9965,0.995,0.9945,0.9905,0.5440573737679344,0.5468515204139441,0.29152519810441746,0.8309097942666869,Supported and practically material,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,680,30,4090200281,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.011634242952146767,-0.012312185520000796,-0.011697479692645084,-0.03364435867016646,0.014469366867424255,-0.0006779425678540285,0.0006779425678540285,0.1575,0.1185,0.0875,0.05,0.05821698613874604,0.06056128898045854,-0.03163153835735229,0.15099180790860262,Unsupported,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,680,30,4090200281,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.11244201454908398,0.11390321442564338,0.11544300867524095,0.007215984014692366,0.23614553324678192,0.0014611998765594048,0.0014611998765594048,0.982,0.9805,0.9775,0.97,0.6021283376981783,0.6064912929795117,0.32259155981843773,0.8878716464339225,Supported and practically material,30,2000,30,30,13,19.0,24,11.0,True,fc65c949c1d3d794502f072996dfff2fe3eaaa75c8a1193b91fc139efc0ffebc
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,Ridge,258,29,2289854581,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.004514762081712198,-0.0047410927782538526,-0.004770679092272902,-0.01646098464032464,0.006806779947292563,-0.0002263306965416545,0.0002263306965416545,0.2165,0.1095,0.048,0.0055,-0.06585979347184212,-0.06563326048143958,-0.11600098005109143,-0.01675788885174308,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,Ridge,258,29,2289854581,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.08638783528954219,0.09232812569085674,0.09835474920677457,-0.05828778407744861,0.2846129028565513,0.005940290401314552,0.005940290401314552,0.87,0.865,0.8595,0.8485,0.47000058210048357,0.4438660153123004,-0.048364282971605894,1.19474615536978,Directionally positive but marginal,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,258,29,2289854581,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.004375414244030873,-0.0046148379307155984,-0.004634798557857291,-0.016356636609748836,0.006918883532376199,-0.00023942368668472547,0.00023942368668472547,0.221,0.113,0.0485,0.006,-0.06518701861986864,-0.06492604226735121,-0.11460890256144463,-0.016640386974840788,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,258,29,2289854581,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.08593043426563352,0.09183941764030562,0.09793164660578715,-0.05936178077943236,0.284750944893641,0.0059089833746721054,0.0059089833746721054,0.8695,0.8635,0.859,0.8455,0.47291671173942706,0.4472092031166779,-0.04576877860549555,1.199739445115607,Directionally positive but marginal,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,RandomForest,258,29,2289854581,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.04071837712274029,-0.04021952237593962,-0.039987630294550415,-0.09182212203562543,0.005606325061233485,0.0004988547468006699,0.0004988547468006699,0.068,0.046,0.031,0.0095,0.060165171703983944,0.06089265129378485,-0.08554251277907744,0.23032228064367102,Unsupported,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2012__test_from_2013,RandomForest,258,29,2289854581,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,-0.009863454355482415,-0.002134827051568977,0.004637493139223924,-0.2368480953946281,0.25532013026194267,0.007728627303913438,0.007728627303913438,0.49,0.483,0.479,0.4645,0.6747099331164197,0.6460605322558481,-0.036464227337043,1.678195523064995,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,e5a714af5f72080244f2420f31b499975dac7e2d712b10bf0ac25481a76d3762
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,Ridge,203,29,493308835,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.005553336741163761,-0.005847694681461957,-0.005813498902433515,-0.01987369324673583,0.007995449496141682,-0.0002943579402981955,0.0002943579402981955,0.2135,0.1195,0.0585,0.01,-0.09098184101694295,-0.09063554309486843,-0.14879288052588321,-0.0332703749470029,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,Ridge,203,29,493308835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.052286577343963914,0.05969560812474867,0.06364741463551205,-0.10354423236052511,0.2674301760005502,0.007409030780784753,0.007409030780784753,0.7465,0.7345,0.7185,0.6975,0.5779184116274578,0.5516217948409792,-0.04169285704357884,1.3937940904149764,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,203,29,493308835,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.0053757234780486,-0.005683620595452354,-0.005637072917538683,-0.019615315527149815,0.007992792176826214,-0.0003078971174037548,0.0003078971174037548,0.218,0.1215,0.062,0.01,-0.09117799670090632,-0.09109247731024772,-0.14804136884788832,-0.03404104831990874,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,ElasticNet,203,29,493308835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.051741801372217955,0.05916727869416394,0.0631467405674691,-0.10486327521866391,0.26746556303583635,0.0074254773219459835,0.0074254773219459835,0.743,0.7305,0.715,0.693,0.5815714271489916,0.5553821818366755,-0.04047145053275672,1.401735274884639,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,RandomForest,203,29,493308835,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.015019301609790259,0.015269761202283683,0.014208569188362854,-0.015252253269300077,0.039390351322846545,0.00025045959249342387,0.00025045959249342387,0.8325,0.7895,0.742,0.631,-0.13468095468938346,-0.13429559377788092,-0.24434721196564937,-0.03271609346470849,Directionally positive but marginal,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2014__test_from_2015,RandomForest,203,29,493308835,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.054604518338225994,0.05618256233080343,0.06482214026043766,-0.0916095559591944,0.26801159345654785,0.001578043992577438,0.001578043992577438,0.7545,0.7445,0.7345,0.7095,0.5653882799578294,0.5530010862902106,-0.0278199806682448,1.3617145493105782,Setup-dependent,29,2000,29,29,13,19.0,24,10.0,True,48866de7083b6e197222d303d6eaf84fc80adc9ac0f6d6c3f521128383e0a12a
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2015__test_from_2016,Ridge,176,27,3393263887,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.006563009336267633,-0.006260230101180708,-0.006214280870972912,-0.021085237841729103,0.008739148601437301,0.00030277923508692517,0.00030277923508692517,0.211,0.1345,0.0775,0.0165,-0.10834284814369788,-0.10642477357298996,-0.17243734607534103,-0.04557440569584226,Setup-dependent,27,2000,27,27,12,17.0,23,10.0,True,2bcb509ab436a8c6226554746dfeeb61323cd5b059df4c2ff18aa7745dd65910
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2015__test_from_2016,Ridge,176,27,3393263887,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.05625475179357209,0.06501866733628148,0.07002068122210957,-0.09801230393688089,0.2761693739070204,0.008763915542709388,0.008763915542709388,0.7625,0.754,0.7435,0.7245,0.6036938800512033,0.5610735291361486,-0.022533638439861697,1.4310488743766911,Setup-dependent,27,2000,27,27,12,17.0,23,10.0,True,2bcb509ab436a8c6226554746dfeeb61323cd5b059df4c2ff18aa7745dd65910
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,176,27,3393263887,signal_increment,M1_Macro,M2_Macro_Oil,2000,-0.0064832555451312945,-0.006153978284398398,-0.006137597454919015,-0.02091947155657477,0.008629846418338288,0.0003292772607328964,0.0003292772607328964,0.211,0.134,0.0765,0.016,-0.10807158530998695,-0.10628878025219168,-0.17133470974344397,-0.04629289418446836,Setup-dependent,27,2000,27,27,12,17.0,23,10.0,True,2bcb509ab436a8c6226554746dfeeb61323cd5b059df4c2ff18aa7745dd65910
M1_Macro_vs_M2_Macro_Oil__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,Future_Period,train_to_2015__test_from_2016,ElasticNet,176,27,3393263887,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.055486572355288644,0.06453737224727502,0.06929270765510258,-0.0992373103586519,0.2763719765741646,0.009050799891986372,0.009050799891986372,0.7595,0.7505,0.7415,0.722,0.609089116406075,0.5655189789724069,-0.018213093947346225,1.4401439133376637,Setup-dependent,27,2000,27,27,12,17.0,23,10.0,True,2bcb509ab436a8c6226554746dfeeb61323cd5b059df4c2ff18aa7745dd65910
