sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4734,185,571578344,signal_increment,M1_Macro,M2_Macro_Oil,2000,5.434444720897602e-07,-3.5987945893323214e-06,-5.59045007459959e-05,-0.0010921400073406304,0.0006399191693947036,-4.142239061422082e-06,4.142239061422082e-06,0.4865,0.0005,0.0,0.0,0.010155928643777123,0.010582264603331115,-0.0229185126551678,0.040079069487744444,Setup-dependent,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,4734,185,571578344,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12336948512904111,0.12215974439381105,0.1369745015346487,0.04883568297531668,0.2890557135691025,-0.0012097407352300582,0.0012097407352300582,0.9975,0.997,0.997,0.9965,0.3948628515614665,0.3957072108423636,0.16114536393304155,0.6395550161636117,Supported and practically material,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4734,185,571578344,signal_increment,M1_Macro,M2_Macro_Oil,2000,1.196467496633602e-06,-1.1840199826140818e-06,-4.860382121578005e-05,-0.0010331389725169525,0.0006370088966996579,-2.3804874792476838e-06,2.3804874792476838e-06,0.4935,0.0005,0.0,0.0,0.008600044412967023,0.009052557083381707,-0.024474789002783038,0.037272269821976005,Setup-dependent,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,4734,185,571578344,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.12309710153596343,0.12185070563135275,0.137084479596858,0.048354132193598666,0.291281641074492,-0.0012463959046106754,0.0012463959046106754,0.998,0.9975,0.997,0.9965,0.38428215662571397,0.38533520630130047,0.1474487284396882,0.6277187557960575,Supported and practically material,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4734,185,571578344,signal_increment,M1_Macro,M2_Macro_Oil,2000,0.10522860428358038,0.0966539369598326,0.2980653556900602,-0.006174076092920049,1.9844994856824911,-0.008574667323747787,0.008574667323747787,0.864,0.829,0.802,0.7565,-0.4932370193050053,-0.4860308976629164,-1.5112712942873703,0.037377240962711805,Directionally positive but marginal,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,4734,185,571578344,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,-0.008315661864299884,-0.005576058791522898,-0.12208173430354971,-1.2943261531825068,0.25910665646862935,0.002739603072776986,0.002739603072776986,0.477,0.468,0.4605,0.4365,0.9333564699474435,0.9198716799735402,-0.13365849223200554,2.8388011199036334,Setup-dependent,185,2000,185,185,102,117.0,132,68.0,True,99856ff7989ac31b05361dd59c5235877bfff67c0122676994e56d9959f69b21
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1765,184,676845753,signal_increment,M1_Macro,M2_Macro_Oil,2000,9.214896389764249e-05,9.226634574566184e-05,0.00010077716780447077,1.5455804503733414e-05,0.0002121887546590924,1.1738184801934892e-07,1.1738184801934892e-07,0.98,0.0,0.0,0.0,-0.00036611967198751927,-0.0002810691018249045,-0.006116944684941571,0.00479038163976222,Directionally positive but marginal,184,2000,184,184,103,116.0,132,68.0,True,ed4fdad03085cdbea507324eda3c6caf095bf28e84d31e02d612034d8c51d36e
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1765,184,676845753,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.09715908762846315,0.09701999161181996,0.10594551417069586,0.06474324769607287,0.1980086972881609,-0.00013909601664319204,0.00013909601664319204,1.0,1.0,1.0,1.0,-0.07930887005542253,-0.07526943043741774,-0.2696247236089709,0.08100244673784239,Supported and practically material,184,2000,184,184,103,116.0,132,68.0,True,ed4fdad03085cdbea507324eda3c6caf095bf28e84d31e02d612034d8c51d36e
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1765,184,676845753,signal_increment,M1_Macro,M2_Macro_Oil,2000,8.665529308793385e-05,8.685546522457788e-05,9.550325719336467e-05,1.627878318180016e-05,0.00020384341604454955,2.001721366440279e-07,2.001721366440279e-07,0.9805,0.0,0.0,0.0,-0.0004096064720728876,-0.00029969654152939285,-0.00604592949888285,0.004682205794779958,Directionally positive but marginal,184,2000,184,184,103,116.0,132,68.0,True,ed4fdad03085cdbea507324eda3c6caf095bf28e84d31e02d612034d8c51d36e
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1765,184,676845753,added_model_vs_strongest_benchmark,Lagged_Flow,M2_Macro_Oil,2000,0.0996133743123867,0.09945644516366081,0.10874197035907224,0.06626812661508474,0.2036320524542447,-0.0001569291487258928,0.0001569291487258928,1.0,1.0,1.0,1.0,-0.0845827685263103,-0.07966644728485717,-0.28180534198258794,0.08098515383182893,Supported and practically material,184,2000,184,184,103,116.0,132,68.0,True,ed4fdad03085cdbea507324eda3c6caf095bf28e84d31e02d612034d8c51d36e
