sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.003066400542149572,0.0030349522416870944,0.0029456262907164923,-0.0013694364651504946,0.007128160668871113,-3.144830046247771e-05,3.144830046247771e-05,0.9115,0.595,0.168,0.0,-0.0021510925560750405,-0.0021306135893788825,-0.006872616366954464,0.0027530009136217527,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.1753568263101163,0.17353759046133393,0.17368376232712898,0.11141700149313127,0.23893562723366477,-0.0018192358487823523,0.0018192358487823523,1.0,1.0,1.0,1.0,0.006570997679524182,0.006671370381231279,-0.016241528921308673,0.031237717220027977,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0032598658440784467,0.0032092423100749667,0.00319046414629786,0.00016926259433906198,0.006086865009971926,-5.0623534003479964e-05,5.0623534003479964e-05,0.9805,0.68,0.1095,0.0,-0.0028958614800869142,-0.0028976088274486056,-0.006346780671814403,0.0006740088435334499,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.17577015049271238,0.17424418575127576,0.17413616875871504,0.11203430594323967,0.2396907376417884,-0.001525964741436625,0.001525964741436625,1.0,1.0,1.0,1.0,0.007105764930831593,0.007357760950276349,-0.016142721686906576,0.031981107262148305,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.016541810747858654,0.01575142605046853,0.01609568178374016,0.0023322681219625587,0.030868350940111585,-0.000790384697390123,0.000790384697390123,0.9905,0.973,0.942,0.7925,-0.01157623419676812,-0.011294792057050751,-0.020341346909247503,-0.0024704330865679526,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.16176122018020944,0.1590136708851022,0.1587983634791534,0.07788672742002002,0.24048165893452011,-0.0027475492951072322,0.0027475492951072322,1.0,1.0,1.0,1.0,0.014175733692929238,0.014831375227935706,-0.013184227412205995,0.04614479945269944,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.007010130178014218,0.007050581371188691,0.007088785574362081,0.003974963129289602,0.010406277572200131,4.045119317447332e-05,4.045119317447332e-05,1.0,0.998,0.9115,0.04,-0.0038248690966575793,-0.003701282804160322,-0.008534715144498248,0.0007764875389133531,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.21817545721187548,0.21789089356504626,0.2180050331445273,0.13935347099807227,0.29392290901591034,-0.00028456364682921675,0.00028456364682921675,1.0,1.0,1.0,1.0,-0.021260060854339624,-0.021868280521854133,-0.048478586439417444,0.005760440817312795,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005722402526557091,0.005749535974228948,0.005785827397648178,0.0032998822403185924,0.008525014828623733,2.7133447671856548e-05,2.7133447671856548e-05,1.0,0.9965,0.7215,0.0005,-0.0033812631990102204,-0.003303242306314347,-0.0072793796702484165,0.00040967139809016133,Directionally positive but marginal,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.21806475179134088,0.217992642031621,0.21787786948455953,0.13841949997328573,0.2946176828730515,-7.210975971988498e-05,7.210975971988498e-05,1.0,1.0,1.0,1.0,-0.020112078536742684,-0.020849729733964595,-0.04773191587431237,0.007579452365477765,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
