sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,654,34,3188532994,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.011711872602227946,-0.010957505419107172,-0.012061542521588052,-0.02841608149535719,-0.000962790624144246,0.0007543671831207743,0.0007543671831207743,0.0125,0.0005,0.0,0.0,0.012283022087772988,0.01179278918878085,0.0005744276512815389,0.026878878250991427,Unsupported,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,654,34,3188532994,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.12172609021670544,0.12268944837799667,0.12338240858088133,0.051757508305539116,0.19524557438880766,0.0009633581612912279,0.0009633581612912279,0.999,0.999,0.999,0.9985,0.04719570036121845,0.04681140145826407,7.703670278667692e-05,0.09194650810898483,Supported and practically material,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,654,34,3188532994,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.008187297582700537,-0.0077070624331542215,-0.008430812449260148,-0.019760417414930082,-0.0006265881711404517,0.0004802351495463153,0.0004802351495463153,0.012,0.0005,0.0,0.0,0.009105864921037043,0.00865753619773113,1.386890338825452e-05,0.020273288669588333,Unsupported,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,654,34,3188532994,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.1271961768818053,0.12777883951489266,0.12898597835020928,0.05620925806695229,0.20227514315984774,0.0005826626330873719,0.0005826626330873719,0.999,0.999,0.999,0.9985,0.043037746160353385,0.04246477661318099,-0.003940519781291825,0.08682975009930209,Supported and practically material,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,654,34,3188532994,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.01818067914564303,-0.017896619370524725,-0.01871593301355887,-0.05606115856739607,0.013214460157790413,0.00028405977511830605,0.00028405977511830605,0.1415,0.1095,0.082,0.04,0.029231146942462316,0.02739408221294498,-0.005731744341175424,0.07172639523324027,Unsupported,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,654,34,3188532994,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.09217506385068497,0.09296361062219943,0.09329074159669697,-0.020416318527846262,0.19939211768508502,0.0007885467715144645,0.0007885467715144645,0.947,0.9425,0.9385,0.931,0.07619147113573832,0.07503244365645545,0.006973232482452762,0.14790054087728122,Directionally positive but marginal,34,2000,34,34,16,22.0,28,12.0,True,dfffa4a49847271bc4a04dfbfc38a09be2893e13031b7c20ff6304f253bfe8d9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,295,33,23988270,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.001184985835459007,0.0011721043201073922,0.0012224241949886597,-0.0014104911647179223,0.003927727115101609,-1.2881515351614858e-05,1.2881515351614858e-05,0.8315,0.167,0.0035,0.0,-0.003402166530387718,-0.0033344237442007874,-0.0077957335024819874,0.0010450442240772344,Directionally positive but marginal,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,Ridge,295,33,23988270,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.18913476474363822,0.19193070029261122,0.191773844089736,0.0845473041754394,0.3018857939948126,0.0027959355489730053,0.0027959355489730053,1.0,1.0,1.0,1.0,-0.010189723970741915,-0.00936476010164744,-0.07097761740287535,0.05170020523273821,Supported and practically material,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,295,33,23988270,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.00042640401746241174,0.00041845548294849877,0.00044082791078287894,-0.0002975766009411601,0.001243504863904756,-7.948534513912975e-06,7.948534513912975e-06,0.881,0.0005,0.0,0.0,-0.0009419516989003229,-0.0009299662346159976,-0.002345186912617769,0.000490024618720296,Directionally positive but marginal,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,295,33,23988270,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.18962391918169097,0.1922732830284361,0.19224005209271872,0.08203565503667667,0.30304274686314076,0.002649363846745134,0.002649363846745134,1.0,1.0,1.0,0.9995,-0.006951511319860826,-0.006048659680836954,-0.07072198386600853,0.057244454314095375,Supported and practically material,33,2000,33,33,15,21.0,27,12.0,True,e98376b137e5a2867abbea794290d2ae0040264f546fc9d467b37475663805c8
