sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3829,184,2184714555,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.001398406146791098,0.0013572336903933113,0.0013352567111432818,-0.0011478932631911176,0.0037301285007832244,-4.117245639778666e-05,4.117245639778666e-05,0.8675,0.1735,0.001,0.0,-0.003701350366315914,-0.00353505035003443,-0.01651197937522409,0.009935923587692753,Directionally positive but marginal,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3829,184,2184714555,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.27878398600659116,0.2801791220303619,0.28140517855406233,0.18908867356030112,0.37956098642325714,0.0013951360237707267,0.0013951360237707267,1.0,1.0,1.0,1.0,0.15375266281708844,0.1524909222234867,0.043050884727007854,0.26215110989657625,Supported and practically material,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3829,184,2184714555,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.001412965984384118,0.001369419306027464,0.0013602947543175242,-0.0008873089073231477,0.0035481875817920797,-4.3546678356654045e-05,4.3546678356654045e-05,0.8915,0.158,0.0005,0.0,-0.004839903405014168,-0.004719287734969324,-0.01717249825901559,0.008060106586566166,Directionally positive but marginal,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3829,184,2184714555,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.278898062267695,0.2802262735910876,0.2815435108953152,0.18864476592578308,0.3800048231584233,0.001328211323392614,0.001328211323392614,1.0,1.0,1.0,1.0,0.15384778818509082,0.15263322943205393,0.042536163246577004,0.26239308907143155,Supported and practically material,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3829,184,2184714555,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.015528531947616608,0.016062753257968743,0.015703177140982023,-0.0042841112906185684,0.03378958524368757,0.0005342213103521343,0.0005342213103521343,0.9395,0.9005,0.8555,0.727,-0.01612415319595506,-0.015711111047801873,-0.05209502182458399,0.023958227931657645,Directionally positive but marginal,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3829,184,2184714555,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.2833416399358474,0.2846484034448327,0.285847531975462,0.1794982446302077,0.40364787024325877,0.0013067635089853424,0.0013067635089853424,1.0,1.0,1.0,1.0,0.15620202642593828,0.15531864545747742,0.03560638735721351,0.2757963853848261,Supported and practically material,184,2000,184,184,104,117.0,132,67.0,True,0eb932f3f4180f9fff2a5bf80b8b12edfb6da362a95a09e044be59d770422e59
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1761,183,1419038237,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.003043059097431522,0.0030596070654759777,0.0030364726095444476,0.0015688908144467692,0.004369805977927549,1.6547968044455796e-05,1.6547968044455796e-05,1.0,0.7875,0.0025,0.0,0.005394936351296842,0.005343319968271976,-0.0025749041936806486,0.013367186118453616,Directionally positive but marginal,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1761,183,1419038237,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality,2000,0.246238503284544,0.2477439452602037,0.24840493342311973,0.15119496902773935,0.34339971641989775,0.001505441975659716,0.001505441975659716,1.0,1.0,1.0,1.0,-1.1390781803157433,-1.1410122546188188,-1.3680500897026853,-0.9291247395733714,Supported and practically material,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1761,183,1419038237,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.00289910334371668,0.00290625223458002,0.00289441272217999,0.0014100140509292537,0.004302150046780758,7.148890863339918e-06,7.148890863339918e-06,1.0,0.713,0.0015,0.0,0.0054999875415526756,0.005421727403835064,-0.0027538059578274027,0.013881183317012573,Directionally positive but marginal,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1761,183,1419038237,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality,2000,0.24615463263944592,0.24766153860173057,0.2483311691029931,0.15165221055945016,0.34270362603253623,0.0015069059622846437,0.0015069059622846437,1.0,1.0,1.0,1.0,-1.1368440261976374,-1.1389248703789272,-1.3647704661919196,-0.927841835853036,Supported and practically material,183,2000,183,183,103,116.0,129,67.0,True,9c41d9d30e4dec415720859b53ec3c1669a6e2657a13a3de9acfacda6bffa1c7
