sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,893,45,702713018,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0014965499989343378,-0.0015635682112715155,-0.0018479274726614643,-0.00941492896216589,0.003614506737648712,-6.701821233717764e-05,6.701821233717764e-05,0.309,0.0825,0.004,0.0,0.011532491825443358,0.011435311686433636,-0.021630416917665717,0.04942752964335795,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,893,45,702713018,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.14083630586980478,0.14410977263445346,0.14828449566658816,0.03561080108991137,0.2755846619116933,0.0032734667646486804,0.0032734667646486804,0.996,0.9955,0.9955,0.9955,0.4482840351049162,0.44157249077371796,0.218032644439164,0.7071227049105763,Supported and practically material,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,893,45,702713018,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0009172698594005491,-0.001001586463500792,-0.001222640042694993,-0.007768439537481624,0.003691819319136106,-8.4316604100243e-05,8.4316604100243e-05,0.364,0.0925,0.005,0.0,0.008967040979414698,0.008811026281166257,-0.02194764603903153,0.044180016263706656,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,893,45,702713018,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.14151532651729914,0.14499758254073508,0.1490652603926773,0.035700926191927294,0.2772422819715362,0.0034822560234359368,0.0034822560234359368,0.996,0.9955,0.9955,0.9955,0.4489826728892339,0.4409336687652837,0.22071362438179878,0.7081729222903661,Supported and practically material,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,893,45,702713018,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.009805621969542155,0.011330331624613277,0.010671522455427495,-0.025260792545550144,0.045181197365606024,0.0015247096550711214,0.0015247096550711214,0.7285,0.6855,0.635,0.5265,-0.060743754639772884,-0.06183031635651237,-0.15764861943848352,0.033482371809564045,Setup-dependent,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,893,45,702713018,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.0868385957710236,0.09009796251792163,0.09275443723022184,-0.06593705499706956,0.24821863071272546,0.003259366746898029,0.003259366746898029,0.876,0.868,0.8635,0.8515,0.6822065799726074,0.6723635760784216,0.3431787384007348,1.0601708599071065,Directionally positive but marginal,45,2000,45,45,22,29.0,36,16.0,True,126c61f60b67fb788fb6ef454399832b8d9e3ca533073ed547d918d8a6e90bac
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,Ridge,406,44,2005128544,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0014546383381783823,0.001461599513027878,0.0014826333094198566,0.00043976481883668833,0.002591099210930854,6.961174849495766e-06,6.961174849495766e-06,0.9945,0.034,0.0,0.0,-0.004543968901843609,-0.0045712805699900105,-0.013922429937447935,0.004247931500138597,Directionally positive but marginal,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,Ridge,406,44,2005128544,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.15174422165916557,0.1510602330619153,0.15998553731836015,0.0003180376164516194,0.3717973481339883,-0.0006839885972502735,0.0006839885972502735,0.9765,0.973,0.969,0.9625,0.1699391623476747,0.15435787146269453,-0.22651991405818261,0.6274290279278797,Supported and practically material,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,406,44,2005128544,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0006834247392860648,0.0007086888374864264,0.0006865598209932467,-0.0008975991094624213,0.0020534984874191,2.5264098200361573e-05,2.5264098200361573e-05,0.818,0.0055,0.0,0.0,-0.005538689577175404,-0.0056028889067025744,-0.01510491326658897,0.0034986169360390505,Directionally positive but marginal,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,406,44,2005128544,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.15177576175786933,0.15129169306991186,0.1600756059565574,-0.00047773989183174336,0.373014952237785,-0.00048406868795747293,0.00048406868795747293,0.9745,0.9715,0.9675,0.9615,0.17011829578194426,0.15446929842392843,-0.2270052290370155,0.6303156117890764,Directionally positive but marginal,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,RandomForest,406,44,2005128544,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.014148293026536418,-0.013647496514995916,-0.013265821369362463,-0.03782178055528672,0.014702035385067633,0.0005007965115405022,0.0005007965115405022,0.178,0.1325,0.097,0.052,0.02061446883018281,0.020561956525975922,-0.04553093372176038,0.09308593540773737,Unsupported,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,train_to_2012__test_from_2013,RandomForest,406,44,2005128544,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.1315499406250309,0.13599933356205768,0.14266307749914098,-0.0999373574125217,0.41689535602236527,0.004449392937026786,0.004449392937026786,0.8585,0.8535,0.8475,0.834,0.18336587719383246,0.16040056614809783,-0.31963304526468117,0.8195097390340693,Directionally positive but marginal,44,2000,44,44,22,28.0,35,16.0,True,84107ea5dfe638a8c1a69f0286b599b03b64cbd14b1acf97dbdf6854e2d55187
