sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,3543408023,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0008657892587869975,-0.0008431721966828953,-0.0006974686188320082,-0.0014551157311449318,0.0005551351165930053,2.2617062104102192e-05,2.2617062104102192e-05,0.194,0.001,0.0,0.0,0.039125985931890206,0.03753015183040542,-0.008731609452678776,0.09080663850273483,Unsupported,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,3543408023,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.12261424687430245,0.120447440037041,0.13461703243026613,0.044410953090310026,0.2915856406896719,-0.002166806837261448,0.002166806837261448,0.996,0.996,0.9955,0.9955,0.5624174246942424,0.569107966426392,0.2610170365787345,0.8650508466496781,Supported and practically material,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,3543408023,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0007876171779820362,-0.0007654484839326736,-0.0006253617622605609,-0.0014489389703195256,0.00065522280394709,2.2168694049362614e-05,2.2168694049362614e-05,0.222,0.001,0.0,0.0,0.04177831578128277,0.04007021091465646,-0.00790127151243635,0.09551307900983429,Setup-dependent,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,3543408023,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.12242069658880095,0.12024065131150125,0.13478859316912264,0.044299607873521,0.2936507332708022,-0.0021800452772997025,0.0021800452772997025,0.9965,0.996,0.996,0.9955,0.5549033202829392,0.5621341163070741,0.2529648540648193,0.8582552847692518,Supported and practically material,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,3543408023,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.024924673596279368,-0.025442091662214228,-0.07089174137472183,-0.42005190099768575,0.00448730860982115,-0.0005174180659348604,0.0005174180659348604,0.1015,0.056,0.0205,0.001,0.23072357129404963,0.21062250458624954,-0.02093140963419415,0.6139876727679505,Unsupported,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,3543408023,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,-0.017158888859279187,-0.015417179639371337,-0.11740399925349386,-0.9327046459695959,0.055763302261077397,0.0017417092199078499,0.0017417092199078499,0.4145,0.403,0.387,0.3515,0.860213473509722,0.8222352281309333,0.022753419680431694,2.4101234501716107,Setup-dependent,184,2000,184,184,102,116.0,132,68.0,True,4c39c324b99ffd71b19699f7e4f710611c52dcf3a9f4229723324d48cac0fe1b
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,3842850588,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0003682516518543899,0.00037323396220129146,0.0006349818707157626,0.0002848468182281683,0.0022485231066009964,4.982310346901553e-06,4.982310346901553e-06,1.0,0.018,0.0115,0.0025,-0.05035310440682306,-0.04985249415471449,-0.07508630610719971,-0.022019606157839062,Directionally positive but marginal,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,3842850588,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.09753307477164896,0.09722422932934005,0.10550207090449615,0.06597810564913606,0.19375182451768433,-0.00030884544230891375,0.00030884544230891375,1.0,1.0,1.0,1.0,-0.015522754795905591,-0.009004181948844892,-0.21620322528957475,0.16310970111774828,Supported and practically material,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,3842850588,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.00041408541338283644,0.0004182845761698806,0.0006551890272808422,0.0003364381244727793,0.001954733146877521,4.199162787044131e-06,4.199162787044131e-06,1.0,0.0155,0.0115,0.0025,-0.047732527230401445,-0.04728594696059396,-0.07210874801355877,-0.020190576034207756,Directionally positive but marginal,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,3842850588,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality,2000,0.09995416823013803,0.09962713971140219,0.10819756071712996,0.06744788183430082,0.19919384013882832,-0.00032702851873583905,0.00032702851873583905,1.0,1.0,1.0,1.0,-0.015468406997582562,-0.008875966750607311,-0.22125363452617536,0.16756087284278715,Supported and practically material,183,2000,183,183,98,116.0,132,67.0,True,8e66044dea5ceb4ce131513f127be4843c9b5f360ebdfc8126e0b22bc805b133
