sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,algorithm,predictor_type,predictor_name,ISO3,n_rows,sum_y,sum_y2,sse,sae
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,AFG,16,11.158706765935836,19.130764969089793,7.779695152032231,8.007832014773822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,AGO,22,25.323845493064802,1436.030009577667,1041.6906576593537,118.15410699589874
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ARE,14,41.37352593127221,145.6870377817361,14.41253844420453,10.494766938134548
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ATG,23,250.29898121619652,3320.957516271991,651.7340041079025,93.78928924791451
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BGR,32,197.08936280789766,2689.3970155564734,526.8208879944367,79.65339119436442
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BHR,32,178.6443216159356,2154.7163600423546,2118.407188183996,163.9784411873574
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BRB,30,160.59994117328014,1361.2532202678135,362.28367234968766,67.26205506268803
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,CHE,32,76.78467886056677,3560.7126848068497,4873.066604903956,234.7876952622727
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,DZA,22,20.98494964080578,26.017967522471746,6.23021739538623,8.420783260387893
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,EST,27,223.23949293331623,2522.9553978321233,1069.2964336962157,137.1401217530989
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,FJI,26,158.11225622239826,1818.6719451711367,675.1783261203403,100.92147768177777
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,GUY,27,236.39582058816757,5927.803275363206,4416.8624572979315,169.0067141994633
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,IDN,31,40.18056491568901,109.30219537901505,32.20930731514284,23.561209584435467
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,IRL,32,483.36118322431577,14602.93791953907,7355.982814899937,342.43290351112626
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ITA,32,30.335051296528288,55.241710667645954,37.85732744070451,22.826398712192706
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,KNA,32,349.1721193978468,4816.519460541766,570.9835599491108,103.77751541035177
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,KOR,32,27.625599410478202,30.832716020103568,4.153323964600273,8.700236650193524
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,LBN,13,70.49476736992001,445.6093558255798,31.845672229414248,15.920112112057982
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,LBY,12,26.377619344891578,102.88774705312409,28.032637362875075,13.81427747069964
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,LTU,27,100.050424277002,496.96692394561904,160.8534452149472,53.48980892446546
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,NGA,32,41.93914339020612,78.49525924420593,14.680668830461906,14.51227084529345
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,POL,32,104.66560330475788,417.4121773072457,67.83146336343786,35.105421607522985
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,RUS,29,50.57035349379568,138.32083186557628,41.341343751839204,25.074142069708504
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,SVN,17,42.44503135661808,159.76141668898572,96.63225804191681,26.921864559122948
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,TUN,28,71.61350601007804,261.8021852016034,120.14893148586822,37.738883038696116
