sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,algorithm,predictor_type,predictor_name,ISO3,n_rows,sum_y,sum_y2,sse,sae
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,AFG,16,11.158706765935836,19.130764969089793,7.779695152032231,8.007832014773822
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,AGO,21,15.252489759541866,1334.5978032665018,847.430619791681,104.21638702928753
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ARE,14,41.37352593127221,145.6870377817361,14.41253844420453,10.494766938134548
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ATG,21,229.2428549095324,3099.2105303772296,592.1069537891213,83.01076882879305
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BGR,23,176.40703125696714,2585.9486380986496,521.9281297046285,74.18091329141369
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BHR,23,107.30644598241204,783.409621438217,958.2346966179722,89.51605629362311
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,BRB,21,144.09409107923292,1290.3678195373034,332.34344817915684,56.541594983740865
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,CHE,23,56.44944560652723,3466.8782613365947,4858.5533185660215,227.04552506573683
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,DZA,21,19.253760665833727,23.020952255406964,6.209967135826176,8.27847985368217
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,EST,23,197.3690316690945,2326.134888763451,1014.4674137097154,124.27791489136021
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,FJI,23,155.17389956793775,1814.358495948293,599.3769554830942,88.35462917683485
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,GUY,23,206.47995324089257,5695.542549862609,4391.927691178834,159.93652641924484
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,IDN,23,34.39332452288632,84.62890981907903,19.317072259406693,15.941518647306117
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,IRL,23,410.56656192121017,13287.554010744825,7047.738602936368,309.107222900829
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,ITA,23,25.97664502856815,51.57922549298948,37.266868014502776,21.057666293136972
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,Benchmark,benchmark,Lagged_Flow,KNA,18,199.4719624552859,2850.819235365363,199.62527242536632,48.62072941863255
