sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,ElasticNet,M1_Macro,0.4277605526119229,0.5828693914767492,0.3693495288672017,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.732584548385814,1.6869242502388562,3.6541085961170117,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,ElasticNet,M2_Macro_Oil,0.4336272254949711,0.5842061296238288,0.37407190608345253,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.6530707443766628,1.6906278475766867,3.658614166078409,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,RandomForest,M1_Macro,0.41786824008603607,0.5988046206147472,0.39538962734394123,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.7410203691098871,1.6069849668880245,3.8672636602397867,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,RandomForest,M2_Macro_Oil,0.3404515629702233,0.641327474296727,0.3866729233304006,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.9627776733472189,1.6220219302318228,5.048232083009777,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,Ridge,M1_Macro,0.42928842902192754,0.579723605435341,0.36503132706747965,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.7738550459104732,1.687941940157534,3.6680810646690585,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4010,724,156,29,Ridge,M2_Macro_Oil,0.43457438445059426,0.5818487381147894,0.3781072617161547,1.6577395719163914,1.2627669625894058,-4.1450366269138526,-2.534091062975003,1.7325722418898062,3.9528966193644277,5.008235984578584,-1.676237138538488,1.6915232477916404,3.6827583756884534,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,ElasticNet,M1_Macro,0.438488162677354,0.5797956340928537,0.42153419600756975,1.5827328045352091,1.1044859853732405,-3.479436197869119,-1.7548917954785237,1.6089133989574527,4.222263132065207,4.762560942995082,-1.1284799153274183,1.5874592934630352,3.687642147521206,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,ElasticNet,M2_Macro_Oil,0.44274809210450283,0.5763437405552317,0.42423688278262994,1.5827328045352091,1.1044859853732405,-3.479436197869119,-1.7548917954785237,1.6089133989574527,4.222263132065207,4.762560942995082,-1.091585835432379,1.5914438015041767,3.687878990060912,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,RandomForest,M1_Macro,0.36819755701465684,0.6002802373644401,0.4224479437880243,1.5827328045352091,1.1044859853732405,-3.479436197869119,-1.7548917954785237,1.6089133989574527,4.222263132065207,4.762560942995082,-1.17534418425845,1.5386985201594139,3.938741478031472,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__All_Eligible,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3580,1154,142,43,RandomForest,M2_Macro_Oil,0.4118768432437422,0.589623903404125,0.41980329527334226,1.5827328045352091,1.1044859853732405,-3.479436197869119,-1.7548917954785237,1.6089133989574527,4.222263132065207,4.762560942995082,-1.080536988058849,1.53247475003446,3.7511623473990476,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
