sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,ElasticNet,M1_Macro,0.42046447177722446,0.5517893371834416,0.33256872423703043,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.4105411376000827,1.3818431454801179,3.0152039069194605,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,ElasticNet,M2_Macro_Oil,0.4198248801672517,0.5516530938230948,0.3304861167221772,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.4941747609540696,1.3689178103509563,2.998036008590961,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,RandomForest,M1_Macro,0.39104856621897655,0.5619140230840636,0.32215484297766683,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.0587955980704864,1.3956059953621787,2.9391729136370017,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,RandomForest,M2_Macro_Oil,0.39538213920043686,0.5751552450845381,0.35282949086498505,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.3114188301124654,1.3075799496976988,3.083613711463536,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,Ridge,M1_Macro,0.41592604309601366,0.5516637486637479,0.3244894961735866,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.8461643446184013,1.3724635224305977,3.034568980539218,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_0,812,264,33,12,Ridge,M2_Macro_Oil,0.4134717731864599,0.552484298295288,0.31886089494113956,1.2543014352104174,1.1258080915511968,-2.85273408093762,-2.369005175199786,1.417331477979025,3.50466973845632,4.078504407466115,-1.9264208979434851,1.3695468957778008,3.0172960893387932,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_1,847,229,36,9,ElasticNet,M1_Macro,0.46089014018632946,0.6097977788539343,0.46212872022644236,1.0959020783979512,1.173474134751074,-3.479436197869119,-2.5436298914781728,1.1196047178488495,4.202463200918685,4.701886934673546,-1.4267497764934944,1.205277180448475,3.4677094899636964,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_1,847,229,36,9,ElasticNet,M2_Macro_Oil,0.4433141052810934,0.6304255206453966,0.48184478522466273,1.0959020783979512,1.173474134751074,-3.479436197869119,-2.5436298914781728,1.1196047178488495,4.202463200918685,4.701886934673546,-1.2622909679326821,1.2018988434772422,3.3155687261003695,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_1,847,229,36,9,RandomForest,M1_Macro,0.38231548174639085,0.6653153873575358,0.4697568182262486,1.0959020783979512,1.173474134751074,-3.479436197869119,-2.5436298914781728,1.1196047178488495,4.202463200918685,4.701886934673546,-1.0691199566206981,1.2089096504187389,3.037929330286258,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Oil_Rents_GDP_Pct_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,oil_rent_threshold,5.0,Country_Holdout_CV,fold_1,847,229,36,9,RandomForest,M2_Macro_Oil,0.35409777826289923,0.6976024541247065,0.5484191824536482,1.0959020783979512,1.173474134751074,-3.479436197869119,-2.5436298914781728,1.1196047178488495,4.202463200918685,4.701886934673546,-0.5890242185094458,1.1900587712723865,2.750254540650213,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
