sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,ElasticNet,M1_Macro,0.26015785477474995,1.6690533991632304,0.787376740499985,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-0.30890346415307945,7.456813000682729,10.886494047183882,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,ElasticNet,M2_Macro_Oil,0.27009557900669845,1.7016982405458254,0.774814597124803,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-0.9924948331281405,7.3813266986786985,10.8554925348404,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,RandomForest,M1_Macro,0.24375485501842176,1.7460203492157267,0.7848259919258584,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-4.733580803895414,7.488439084367098,12.177778490904089,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,RandomForest,M2_Macro_Oil,0.26833486134604234,1.713780569287855,0.7880836940742388,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-6.3826750166091015,7.382030489743455,11.768940083568165,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,Ridge,M1_Macro,0.26022006056629376,1.6660596525300275,0.7820319682588353,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-0.36385968143493397,7.45927197861603,10.90803597159361,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,4011,724,156,29,Ridge,M2_Macro_Oil,0.27010315938063356,1.6993967362815194,0.7682211717063834,7.070219061917368,4.2521644483047,-13.075539282935273,-10.08356207669497,7.983684606954372,11.945182439517799,13.02153910307993,-1.0591984979720186,7.390612676860435,10.87743502830715,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,ElasticNet,M1_Macro,0.3907486152113686,1.5628848179922792,0.8289908186990589,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-0.0011247338269875229,6.760073493263166,12.238654934712361,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,ElasticNet,M2_Macro_Oil,0.39471061329753554,1.573773417190877,0.8095715687771523,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-0.28433104715613045,6.6626051758218185,12.442245293785186,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,RandomForest,M1_Macro,0.3588278708803704,1.588980864153778,0.7685797304107091,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-4.313614932509173,6.61496252622111,12.399662166886603,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,RandomForest,M2_Macro_Oil,0.3686194214002211,1.6168073429392054,0.8098541576927487,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-2.4082986829573545,6.7283195836843745,12.748915198501585,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,Ridge,M1_Macro,0.39056839554861056,1.5616977485089127,0.8295261948426633,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-0.056137234730739394,6.762298924175531,12.25584372871062,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,3581,1154,142,43,Ridge,M2_Macro_Oil,0.39451545333564597,1.572965289693833,0.8100704183365546,6.700003443758465,4.057391079964671,-10.95089662686945,-8.43355999217935,7.173486004977572,13.218038935664554,13.838121004351278,-0.33833624092796466,6.658803947618431,12.464730191515908,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,ElasticNet,M1_Macro,0.25370566672490635,1.7490874080335352,0.9265171223967759,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-1.5914218856818598,6.734765674845348,12.27105832077435,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,ElasticNet,M2_Macro_Oil,0.2703668158439083,1.6844731244245055,0.8558269749251064,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-1.1770135845627507,6.728660199403309,12.43905318434644,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,RandomForest,M1_Macro,0.2417808065224174,1.7697902249005673,0.8278845222733784,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-4.351837226490124,6.782065097578135,13.170438738040378,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,RandomForest,M2_Macro_Oil,0.2665283351498805,1.7253905519250319,0.7926294608983362,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-1.3779878320533507,6.741023285893883,13.349730581461907,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,Ridge,M1_Macro,0.25282401826405887,1.7477211208984873,0.9145114661079141,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-1.6501176929379424,6.733146745639844,12.300557999654027,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3786,949,148,37,Ridge,M2_Macro_Oil,0.2697410504451694,1.682255262142767,0.845337568382508,6.912867840949353,3.9202595578740898,-13.357856330676658,-8.876794405271472,7.42045954980995,12.841280262698621,13.441762049745485,-1.224592001892277,6.731374231399201,12.471422132530364,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,ElasticNet,M1_Macro,0.38609633771673224,1.8713034197236107,0.8963637180859365,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-0.173333880620123,5.9254914673176495,10.9498075835753,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,ElasticNet,M2_Macro_Oil,0.3939577217110466,1.924537904127806,0.925991291520996,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-1.3899774898993735,5.748012073139977,11.169552839862899,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,RandomForest,M1_Macro,0.33877488096597863,1.8294596682549318,0.7453644008101605,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-1.628941910869169,5.9327594269715425,12.008811015022669,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,RandomForest,M2_Macro_Oil,0.37527259523489764,1.8386210205626654,0.794901229391523,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-2.317946971913867,5.827592798634094,11.49225895404076,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,Ridge,M1_Macro,0.38705903979520107,1.8704853299947934,0.8968611352915001,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-0.21987105863753253,5.917279364135771,10.965951441896499,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_3,3832,903,148,37,Ridge,M2_Macro_Oil,0.3946937662246409,1.9247834999374196,0.9232130854927654,5.344033900726401,4.4120459595094,-13.253513466258305,-9.216205331893045,6.404797317761188,12.904353060720794,14.199175086912016,-1.4677091734408956,5.7466807527020025,11.19101910697277,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_4,3730,1005,146,39,ElasticNet,M1_Macro,0.263631922991163,1.7363524182829575,0.7903707851849369,6.628786506909207,4.29697238564734,-11.769865079785491,-10.110087756471296,7.454171605102212,12.466224238080336,13.384152781944712,-0.9809211379365506,6.7511442401892525,11.451111432292572,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_4,3730,1005,146,39,ElasticNet,M2_Macro_Oil,0.27136385169676747,1.7069183312916107,0.7582790741561638,6.628786506909207,4.29697238564734,-11.769865079785491,-10.110087756471296,7.454171605102212,12.466224238080336,13.384152781944712,-0.853123647774443,6.843806540398005,11.61525982449795,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M1_Macro_vs_M2_Macro_Oil__primary__All_Eligible,Oil_Rents_GDP_Pct_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_4,3730,1005,146,39,RandomForest,M1_Macro,0.28992889677875255,1.7029000552831755,0.7015188903868212,6.628786506909207,4.29697238564734,-11.769865079785491,-10.110087756471296,7.454171605102212,12.466224238080336,13.384152781944712,-2.71850661201657,6.835806271863325,12.174096021111868,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]"
