sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,ElasticNet,M2_Macro_Oil,0.4105351432296859,0.6062276800564133,0.3802666319696001,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.4819341056919086,1.7635355799886159,3.60882053304237,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,ElasticNet,M3_Macro_Oil_RegQuality,0.41684505932714344,0.6014149006412235,0.3701983550914699,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.4433307172322203,1.7645260672880092,3.6272106865862295,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,RandomForest,M2_Macro_Oil,0.353066942122196,0.6647093987120751,0.47260303318473423,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.306258157431557,1.6363509605667463,4.3515186754933755,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,RandomForest,M3_Macro_Oil_RegQuality,0.3604482376686807,0.6320255387476923,0.4074456786911739,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.678987218937431,1.6753515812023034,4.388505548682781,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,Ridge,M2_Macro_Oil,0.4116818744859563,0.60384981514893,0.37711071619610137,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.5226319398439074,1.7634960133547488,3.6191130589529052,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,Ridge,M3_Macro_Oil_RegQuality,0.4193908683866562,0.5991705444107883,0.3777219306521674,1.703403146552014,1.2988596546674265,-4.1450366269138526,-2.678351897014063,1.795732275433806,3.972053718431459,5.008235984578584,-1.5020774583772818,1.7750544366141485,3.6240499091004956,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,ElasticNet,M2_Macro_Oil,0.4035383781956091,0.5978762617685907,0.4231638642963555,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.8753223729299395,1.6556417782354256,3.7048319690616003,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,ElasticNet,M3_Macro_Oil_RegQuality,0.4125857825491547,0.5924824218976482,0.4077042342187206,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.9019274959550523,1.6452625544798913,3.654643534919787,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,RandomForest,M2_Macro_Oil,0.35013466384947955,0.6221769267255591,0.432210093213687,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.7912585428269476,1.5683722719332684,4.021211913352562,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,RandomForest,M3_Macro_Oil_RegQuality,0.36242669262723914,0.61524708317254,0.42437822388890234,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.71241380348087,1.5315520731339782,3.906061509772582,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,Ridge,M2_Macro_Oil,0.4024595586535932,0.5981371924155033,0.4193498097654067,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.8782699547431676,1.6532645363956466,3.730497011877235,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,Ridge,M3_Macro_Oil_RegQuality,0.4136000676197955,0.5920239750973354,0.4056043316839524,1.6237953545258956,1.1249315728978964,-3.479436197869119,-1.841163277119384,1.6621288179508928,4.272380855548159,4.762560942995082,-0.9037260386003847,1.6357406715945826,3.656975024540781,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,ElasticNet,M2_Macro_Oil,0.18560959353609374,0.7202685283388198,0.44062815296771296,1.9229589609675002,1.4031009953047688,-6.663275105997959,-2.9432619684865338,2.0055159394201034,5.959898139496633,6.80731909850551,-2.3180515779100412,1.8044058855315548,4.886861554427923,"[""Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
