sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,ElasticNet,M2_Macro_Oil,0.2514077837617241,1.8604477229398846,0.8372623833209636,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-0.5844330889559446,7.537591551738499,10.800971552919336,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,ElasticNet,M3_Macro_Oil_RegQuality,0.2547674356414702,1.863133986606492,0.8674861918269134,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-0.6179865706262309,7.479670789645832,10.67872836026583,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,RandomForest,M2_Macro_Oil,0.22875349194391725,1.9398188152124567,0.7971879255004728,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-5.930400919085157,7.5427460703666265,11.569871501281032,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,RandomForest,M3_Macro_Oil_RegQuality,0.2559471429496596,1.9069193336369257,0.8753693869826344,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-6.830799422491599,7.439503022886395,11.695002348223522,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,Ridge,M2_Macro_Oil,0.25163822953748927,1.8576955508872492,0.834504306373657,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-0.6516835387412838,7.541708416063257,10.821759763718982,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_0,3253,576,155,29,Ridge,M3_Macro_Oil_RegQuality,0.25526156444892123,1.8611207488587311,0.856773149791572,7.190322853632485,4.541558098653924,-13.075539282935273,-10.532015222712758,8.151159023319071,11.982815376890244,13.02153910307993,-0.6870981949280264,7.489591220382426,10.681486724979449,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,ElasticNet,M2_Macro_Oil,0.3649776115465746,1.6612698966826944,0.8173156966681683,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,-0.1308933532088039,6.7815320063849365,12.264784829893689,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,ElasticNet,M3_Macro_Oil_RegQuality,0.3688071573192535,1.6512356013096972,0.8341766488473947,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,0.01973893072655475,6.754518980300488,12.2431874924613,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,RandomForest,M2_Macro_Oil,0.338694555380072,1.7044245852079059,0.8029437343582027,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,-4.020587810608651,6.808154777288706,12.661648903086832,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,all,,Country_Holdout_CV,fold_1,2912,917,141,43,RandomForest,M3_Macro_Oil_RegQuality,0.3354744711197094,1.7189458807616984,0.8113008675840376,6.862583293717623,4.142940818450026,-10.95089662686945,-9.025010000680952,7.382249928113749,13.293911514120428,13.838121004351278,-4.062865032800304,6.736424843710132,12.773759260359002,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
