sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,ElasticNet,M2_Macro_Oil,0.40660707810181906,2.6034726802383243,1.488842059491787,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-1.7828996684414733,7.466704859209731,10.327525396161068,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,ElasticNet,M3_Macro_Oil_RegQuality,0.408675762928016,2.6147416725668973,1.4803866530154188,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-1.8516263017524892,7.356252844012751,10.217700245994092,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,RandomForest,M2_Macro_Oil,0.3684529815387423,2.828054423382792,1.572734965350509,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-6.257083169417426,7.9616329886347,9.68515276937173,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,RandomForest,M3_Macro_Oil_RegQuality,0.40922068207619133,2.630725148067659,1.491624819299799,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-6.713576529863104,7.866840064147082,9.853425462478878,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,Ridge,M2_Macro_Oil,0.4074423861474761,2.5948257532344536,1.471295801717527,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-1.8242556631412628,7.479873189209391,10.353125803977342,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_0,513,142,26,8,Ridge,M3_Macro_Oil_RegQuality,0.4096648549406213,2.606282340501225,1.4671122344137206,6.584426538649891,5.795189099819667,-11.284793096004869,-9.586353159471091,8.283068257565107,11.750362308616069,11.915491842526786,-1.8997355726144125,7.360860686172851,10.23357517324379,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_1,492,163,26,8,ElasticNet,M2_Macro_Oil,0.257940152151125,2.576943696459776,1.377375803217686,6.038875981469889,4.950412047629361,-9.099292839376243,-8.545398199579878,7.664159129467721,10.764389943858351,10.94554265866446,-2.090075463852302,6.7923813181085455,9.072122406303214,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_1,492,163,26,8,ElasticNet,M3_Macro_Oil_RegQuality,0.2602798518861664,2.5604642095905885,1.3737998500809523,6.038875981469889,4.950412047629361,-9.099292839376243,-8.545398199579878,7.664159129467721,10.764389943858351,10.94554265866446,-2.0204058072613433,6.835145761387893,9.089843029526913,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_1,492,163,26,8,RandomForest,M2_Macro_Oil,0.18861512647046919,2.756909773339567,1.5325491259625093,6.038875981469889,4.950412047629361,-9.099292839376243,-8.545398199579878,7.664159129467721,10.764389943858351,10.94554265866446,-4.22348529014531,6.90718404318514,10.151536283087843,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,oil_rent_threshold,10.0,Country_Holdout_CV,fold_1,492,163,26,8,RandomForest,M3_Macro_Oil_RegQuality,0.1824201961687013,2.6932860168533694,1.4740718630382235,6.038875981469889,4.950412047629361,-9.099292839376243,-8.545398199579878,7.664159129467721,10.764389943858351,10.94554265866446,-2.984955015544025,6.809765073658832,10.249104222419954,"[""Inward_FDI_Net_Flow_asinh_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
