sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,ElasticNet,M2_Macro_Oil,0.2770539096541005,3.6847626364534594,2.3993351814795068,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-14.517783248842854,5.035623168554233,52.41065036168102,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,ElasticNet,M3_Macro_Oil_RegQuality,0.2700841568253537,3.7710443569406777,2.459683592820414,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-14.610218346274396,5.135199671805514,52.657547214232956,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,RandomForest,M2_Macro_Oil,-8.153089853084147,6.780454290573277,1.4029083198317682,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-7.296500072352579,3.0691142105405085,136.93861367460653,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,RandomForest,M3_Macro_Oil_RegQuality,-13.063528075346506,7.589521869321176,1.2790171399852381,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-10.5957165172881,3.189970046025787,190.88829774216055,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,Ridge,M2_Macro_Oil,0.2733244621378631,3.7079475702579976,2.436121142793464,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-14.488846057964803,5.033570005779016,52.72519118462864,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_0,3252,576,155,29,Ridge,M3_Macro_Oil_RegQuality,0.2691040032786549,3.7744981582087656,2.4219138486818803,4.724993806296859,7.12632173806584,-31.55204544605841,-7.248856442205997,2.9289644455512693,26.547143960620232,74.81692614872443,-14.633870652717993,5.092911274877819,52.91026997545858,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,ElasticNet,M2_Macro_Oil,0.43648747355681117,3.3692996993727737,2.4721201907863994,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-6.5576320591788395,4.661604273147288,44.06762830815008,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,ElasticNet,M3_Macro_Oil_RegQuality,0.452610468237871,3.3138977895147996,2.507579311842634,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-6.880651556782455,4.545003249976031,43.720719152687,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,RandomForest,M2_Macro_Oil,0.5236538579132177,2.453463333454317,1.2020402409158948,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-3.273369074871743,2.9832143430007707,40.41213799900108,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,RandomForest,M3_Macro_Oil_RegQuality,0.3266276426619673,2.611990845292503,1.2625192869792334,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-8.661683944552328,2.889149874925678,41.4934821861978,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,Ridge,M2_Macro_Oil,0.43493543470280704,3.377282864653901,2.501006635588359,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-6.780330517172265,4.625017150772836,44.19511044490288,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_1,2911,917,141,43,Ridge,M3_Macro_Oil_RegQuality,0.44975689437112654,3.3257899825244883,2.5165656671682823,4.286714692628523,6.606491068284394,-16.205300794119097,-3.073944997365809,2.540392123062229,35.84714254671436,58.51837251032528,-7.031131252344581,4.55301141836609,43.89492360384615,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,ElasticNet,M2_Macro_Oil,0.3897849593659156,7.771730078324167,2.0931026167311515,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-65.20211096516466,4.156945504550728,287.7444067053896,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,ElasticNet,M3_Macro_Oil_RegQuality,0.3902888666237274,7.755994044770742,2.0907236034799497,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-65.22684460275973,4.287156548706582,287.8563948873812,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,RandomForest,M2_Macro_Oil,0.33291035378559664,7.510845266314513,1.493615729886315,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-4.5850921852644735,3.738307827516528,463.8228945100442,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,RandomForest,M3_Macro_Oil_RegQuality,0.3235528819914478,7.529383559410313,1.4375735994938834,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-8.60895262931096,3.782589934855359,474.00357056038285,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,Ridge,M2_Macro_Oil,0.38980614410274916,7.796463082867509,2.122669862799289,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-65.36816110415528,4.117289563806118,289.10011011901247,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_2,3057,771,147,37,Ridge,M3_Macro_Oil_RegQuality,0.3902197097319884,7.777140757596836,2.095753468522765,9.222160273717867,41.360536648514945,-391.5551190092479,-9.520975258188523,3.647667731417533,193.80520175350864,452.2208630141506,-65.42024889393392,4.191256359873388,289.1831951603834,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,ElasticNet,M2_Macro_Oil,0.06432219242639559,6.249729089575734,1.8349219063743414,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-189.09415479060993,3.7899305927790863,287.41231752721035,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,ElasticNet,M3_Macro_Oil_RegQuality,0.06494038883724296,6.234720763507177,1.7864176915633667,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-189.1002180154049,3.473190088697046,287.567835335224,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,RandomForest,M2_Macro_Oil,-0.19871925847182847,6.087866684919789,1.4198638648160653,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-4.891486152987048,2.863681142887976,413.7058514214556,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,RandomForest,M3_Macro_Oil_RegQuality,-0.2731598336939678,6.244754691090457,1.4344458584285849,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-2.080868418880435,2.8733558731742455,436.0046232912031,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,Ridge,M2_Macro_Oil,0.06254864191854381,6.250952019721535,1.8506629355253077,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-190.01240225589186,3.7953144713092106,288.74033987568515,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3073,755,148,36,Ridge,M3_Macro_Oil_RegQuality,0.06308725574317509,6.233781625056752,1.7828571955820802,6.619658873027509,30.54572690592269,-296.0133334563628,-10.56336082222868,2.317057410035104,130.76882129502377,431.7885759104592,-190.04410170638442,3.4899315424124033,288.88855659502315,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3019,809,145,39,ElasticNet,M2_Macro_Oil,0.44943875621715834,7.7603314165398425,1.694994960083464,10.839879184455803,81.52795894437985,-40.10824601697438,-4.356484565287888,3.0603319991015674,81.15993346855036,1709.8272317393,-18.82193110045278,4.80181003090759,949.1332470033915,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3019,809,145,39,ElasticNet,M3_Macro_Oil_RegQuality,0.44805421823604763,7.988386350039636,1.8482978063895055,10.839879184455803,81.52795894437985,-40.10824601697438,-4.356484565287888,3.0603319991015674,81.15993346855036,1709.8272317393,-19.36916353121803,5.120428348320592,941.9727333943588,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1"", ""Regulatory_Quality_lag1""]"
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3019,809,145,39,RandomForest,M2_Macro_Oil,0.3821194592412659,7.544628930505412,1.2507019525103815,10.839879184455803,81.52795894437985,-40.10824601697438,-4.356484565287888,3.0603319991015674,81.15993346855036,1709.8272317393,-3.022760105650362,3.41939023035345,274.08567773887506,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]"
