sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0032598658440784,0.0032092423100751,0.0031904641462978,0.000169262594339,0.006086865009972,-5.062353400331343e-05,5.062353400331343e-05,0.9805,0.68,0.1095,0.0,-0.0028958614800869,-0.0028976088274486,-0.0063467806718142,0.0006740088435333,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0165033778375447,0.015730252252914,0.0160586590884066,0.0022393256738812,0.0308279591330213,-0.0007731255846306,0.0007731255846306,0.99,0.9725,0.941,0.7905,-0.01165039097033,-0.0113625970977709,-0.0203992286946666,-0.0025562241345554,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0030664005421495,0.003034952241687,0.0029456262907165,-0.0013694364651504,0.0071281606688712,-3.144830046247771e-05,3.144830046247771e-05,0.9115,0.595,0.168,0.0,-0.002151092556075,-0.0021306135893789,-0.0068726163669542,0.0027530009136217,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005722402526557,0.0057495359742288,0.0057858273976481,0.0032998822403183,0.0085250148286237,2.713344767180104e-05,2.713344767180104e-05,1.0,0.9965,0.7215,0.0005,-0.0033812631990102,-0.0033032423063144,-0.0072793796702483,0.00040967139809,Directionally positive but marginal,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0124160845784214,-0.0120973472142281,-0.0121650838337996,-0.0260781959305026,0.0014140414835209,0.0003187373641933,0.0003187373641933,0.0425,0.0165,0.006,0.001,-0.0005761027639316,-0.0005433795844992,-0.0126192389342228,0.0114024942902181,Unsupported,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0070101301780141,0.0070505813711886,0.007088785574362,0.0039749631292898,0.0104062775722001,4.045119317452883e-05,4.045119317452883e-05,1.0,0.998,0.9115,0.04,-0.0038248690966575,-0.0037012828041601,-0.0085347151444982,0.0007764875389133,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005145038469526,0.0051797279736298,0.0051936012320458,0.0023397251045905,0.0083415525704407,3.46895041037909e-05,3.46895041037909e-05,1.0,0.9625,0.547,0.002,-0.0023343328955446,-0.0023437045742287,-0.0070056529815044,0.0022683267198505,Directionally positive but marginal,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0198359872123594,0.019891527469016,0.0202329035420805,0.0012241838506272,0.0418198329502078,5.5540256656549936e-05,5.5540256656549936e-05,0.979,0.9625,0.937,0.8345,-0.0095833958809493,-0.0095565041254915,-0.0218825156851318,0.0020746253735713,Supported and practically material,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0060366133411127,0.0060701589102342,0.0060863841688781,0.0024999502220881,0.0099348251571337,3.3545569121495866e-05,3.3545569121495866e-05,1.0,0.975,0.724,0.025,-0.0022642786906906,-0.0022351444659111,-0.0079124107456717,0.0032971048948436,Directionally positive but marginal,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,1222,180,1890368004,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005403359088382,0.0054711727690115,0.0054857017663747,0.0027968546757574,0.0082391812338881,6.781368062946935e-05,6.781368062946935e-05,1.0,0.9885,0.635,0.001,-0.0021929525938834,-0.0021942724924441,-0.0062904920058904,0.0019336789513266,Directionally positive but marginal,180,2000,180,180,99,114.0,128,66.0,True,1eff77c540ef9d7c07c53bde4f1fceea92c901c415f076f97b4f3df997fa5783
