year,observations,slope,intercept,max_abs_residual
1996,181,15.771420636253199,54.86279187711161,5.335661512617662e-08
1998,181,15.771420640180585,54.862791872359075,5.267637703809669e-08
2000,181,15.771420636311115,54.8627918728329,4.9101814170171565e-08
2002,182,15.771420637420922,54.86279187320401,5.009424342006241e-08
2003,182,15.771420634350331,54.862791877156425,5.5321805803032476e-08
2004,195,15.771420635772602,54.86279187700116,5.3928683740878114e-08
2005,196,15.771420638666477,54.862791871695904,5.172816486265219e-08
2006,197,15.771420636627667,54.862791873937866,5.018647897259143e-08
2007,198,15.77142063742669,54.86279187380475,4.905523098841513e-08
2008,200,15.771420636810115,54.862791868879434,5.4281755978990986e-08
2009,201,15.771420638389959,54.862791873498814,5.172918804419169e-08
2010,201,15.771420637520512,54.862791871765715,5.00446901696705e-08
2011,202,15.77142063797699,54.86279187670415,5.363547472825303e-08
2012,202,15.771420637793549,54.862791871690106,5.2564608665761625e-08
2013,202,15.771420633878915,54.86279187350637,5.3766783025821496e-08
2014,202,15.771420637662063,54.86279187117855,5.269577485478294e-08
2015,204,15.771420636083775,54.86279187294019,5.070992159517118e-08
2016,204,15.771420638238041,54.86279187368982,5.2056179811188485e-08
2017,204,15.771420635166518,54.86279187696001,5.423211035804343e-08
2018,204,15.771420637113764,54.86279187366647,4.950274501425156e-08
2019,204,15.771420636752092,54.862791874349526,5.024766380756773e-08
2020,204,15.771420637242842,54.86279187368542,4.9879382402195915e-08
2021,204,15.771420639495831,54.86279187079218,5.664336910626844e-08
2022,204,15.771420637774325,54.86279187176872,5.089430032967357e-08
2023,204,15.771420637997473,54.862791872544506,5.0279822971788235e-08
2024,204,15.771420635069921,54.86279187167755,5.441849282306066e-08
