sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,2433254131,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.1757701504924858,0.17431885364063088,0.17526307161814933,0.11416400789718104,0.2458249050854368,-0.0014512968518549108,0.0014512968518549108,1.0,1.0,1.0,1.0,0.0071057649311283555,0.00707904527623443,-0.01699511131385267,0.03393278634731772,Supported and practically material,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,2433254131,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.16176319157754449,0.15892691650555224,0.16079003490927027,0.07968423085439329,0.25153739464561536,-0.0028362750719922447,0.0028362750719922447,1.0,1.0,1.0,1.0,0.01407924851143827,0.014183970427821935,-0.017875982085750995,0.04677251430852394,Supported and practically material,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,2433254131,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.17535682631019234,0.17381770617337716,0.1748255419898712,0.11409925785071219,0.24529178352611083,-0.0015391201368151752,0.0015391201368151752,1.0,1.0,1.0,1.0,0.006570997681296653,0.006645421907490068,-0.017133576234958092,0.033685968872788796,Supported and practically material,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,1103515508,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.21806475179353746,0.21756255516414713,0.21701277182171755,0.13816004921585048,0.2940982590628227,-0.0005021966293903279,0.0005021966293903279,1.0,1.0,1.0,1.0,-0.020112078537305567,-0.020210692165191724,-0.04858887684223085,0.008643779798639178,Supported and practically material,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,1760,183,1103515508,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.19810964235914796,0.19814522184557753,0.19760522775909015,0.058718546340147754,0.32996320555006775,3.5579486429571094e-05,3.5579486429571094e-05,0.9985,0.9985,0.9985,0.998,-0.023198178853524487,-0.023805340922740614,-0.06713224665590639,0.020164984391162398,Supported and practically material,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,1103515508,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.2181754572118385,0.21766442152485693,0.21712783925542262,0.1386802476689198,0.29334606099061833,-0.0005110356869815758,0.0005110356869815758,1.0,1.0,1.0,1.0,-0.02126006085028409,-0.021171638618056488,-0.04944188931899127,0.0066572205166228315,Supported and practically material,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,1401,183,2179153686,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.2352513968768094,0.233954308250427,0.23434957135503381,0.14945400165097456,0.325929334438549,-0.0012970886263823922,0.0012970886263823922,1.0,1.0,1.0,1.0,-0.021001805757711378,-0.02145528506754696,-0.0520967575092126,0.008958422440797463,Supported and practically material,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,1401,183,2179153686,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.23325923112495972,0.23320644157983544,0.2329340779270777,0.10634161341285352,0.36953043889544107,-5.278954512427658e-05,5.278954512427658e-05,1.0,1.0,1.0,1.0,-0.03363692385836292,-0.0336253066996115,-0.07705965421641287,0.007446359848087591,Supported and practically material,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,1401,183,2179153686,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.2345822696543618,0.23317469941871843,0.23367388230248923,0.14978129225247186,0.3240458780875085,-0.0014075702356433628,0.0014075702356433628,1.0,1.0,1.0,1.0,-0.02126657072274074,-0.021786801038223724,-0.05166920840505996,0.008389464174613087,Supported and practically material,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,1222,180,1682767197,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.234115339834029,0.2385714266444875,0.2378547585165204,0.060465997550916695,0.41922629729828376,0.004456086810458504,0.004456086810458504,0.9975,0.997,0.997,0.996,-0.2828208606903726,-0.28160549092970966,-0.36177283856240783,-0.2067256082877793,Supported and practically material,180,2000,180,180,95,114.0,129,66.0,True,5bfc54b4f8e1023dafe4e9778a30cc0e59f9da0f922d112344846b372a219718
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,RandomForest,1222,180,1682767197,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.21613883540704648,0.2177092114582545,0.22022329417961095,0.060751258885350594,0.39174668604488844,0.0015703760512080223,0.0015703760512080223,0.9985,0.9985,0.9975,0.997,-0.2891736803573923,-0.2880012883745615,-0.3664587590416836,-0.2149579931175887,Supported and practically material,180,2000,180,180,95,114.0,129,66.0,True,5bfc54b4f8e1023dafe4e9778a30cc0e59f9da0f922d112344846b372a219718
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,Ridge,1222,180,1682767197,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.23329181328027482,0.23763577194473745,0.23700598568898182,0.0580678844922422,0.41926224423672737,0.004343958664462633,0.004343958664462633,0.9975,0.997,0.9965,0.996,-0.283194337583486,-0.2819364974010555,-0.36300285100337804,-0.2061035232544266,Supported and practically material,180,2000,180,180,95,114.0,129,66.0,True,5bfc54b4f8e1023dafe4e9778a30cc0e59f9da0f922d112344846b372a219718
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,ElasticNet,1045,180,269361961,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.23712176940133123,0.24471642936570465,0.24227057819252804,0.05005508302660674,0.4244747650865239,0.007594659964373418,0.007594659964373418,0.993,0.992,0.991,0.9895,-0.2813220914348533,-0.28141521947205195,-0.3647446502070513,-0.20453091688761724,Supported and practically material,180,2000,180,180,100,114.0,128,66.0,True,e8364c9128722b3bdbba68ffe54622e51489b7325aa414c700071b5319db051c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,RandomForest,1045,180,269361961,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.22930262030192272,0.23507633596309008,0.23548582486588954,0.056441847892660206,0.4113889771476094,0.005773715661167356,0.005773715661167356,0.996,0.995,0.995,0.9925,-0.30202041076302477,-0.3020875125714529,-0.38794996128151854,-0.2200937313631743,Supported and practically material,180,2000,180,180,100,114.0,128,66.0,True,e8364c9128722b3bdbba68ffe54622e51489b7325aa414c700071b5319db051c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2016__test_from_2017,Ridge,1045,180,269361961,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.23637713456641618,0.24364655021268938,0.24153561422052341,0.04813302801961884,0.42476416070199385,0.007269415646273203,0.007269415646273203,0.993,0.9915,0.99,0.9895,-0.2817811893012734,-0.28193942213247974,-0.36648439911863034,-0.2038628760979581,Supported and practically material,180,2000,180,180,100,114.0,128,66.0,True,e8364c9128722b3bdbba68ffe54622e51489b7325aa414c700071b5319db051c
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,ElasticNet,693,177,1333751051,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.18851270697218336,0.19939568289682852,0.19299442571523429,-0.08743634348611666,0.4481015710567476,0.010882975924645155,0.010882975924645155,0.9115,0.9075,0.904,0.8975,-0.2730297244891916,-0.27122970107019984,-0.3661787300591216,-0.17957869834117965,Directionally positive but marginal,177,2000,177,177,98,112.0,128,65.0,True,fd9b034caef89bcfe8dcea6b1bcac2e31c56de87ca79fcf209abf8e6b8dcb5ee
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,RandomForest,693,177,1333751051,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.22768866215068395,0.2355494310468052,0.2328830238724504,0.009097562532473616,0.4418483134453207,0.00786076889612125,0.00786076889612125,0.9775,0.977,0.976,0.9735,-0.2977469636952085,-0.29540038212143394,-0.38915464417276274,-0.20687809451406472,Supported and practically material,177,2000,177,177,98,112.0,128,65.0,True,fd9b034caef89bcfe8dcea6b1bcac2e31c56de87ca79fcf209abf8e6b8dcb5ee
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2018__test_from_2019,Ridge,693,177,1333751051,added_model_vs_strongest_benchmark,Training_Mean,M3_Macro_Oil_RegQuality_Score,2000,0.18643923439484633,0.1972948574967811,0.190919254264107,-0.09048283802243037,0.4469600267558295,0.010855623101934775,0.010855623101934775,0.9075,0.9025,0.8995,0.8925,-0.2715890562317639,-0.26970644971194074,-0.3653913873843763,-0.17727019700028476,Directionally positive but marginal,177,2000,177,177,98,112.0,128,65.0,True,fd9b034caef89bcfe8dcea6b1bcac2e31c56de87ca79fcf209abf8e6b8dcb5ee
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,654,34,3278150188,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.12719617682925932,0.12772724073639086,0.12844412456733953,0.05547187371194017,0.20228752182478207,0.0005310639071315348,0.0005310639071315348,0.9995,0.9995,0.9995,0.9995,0.04303774621243339,0.043721205456021595,-0.0018662473980215729,0.0886875591985271,Supported and practically material,34,2000,34,34,16,22.0,27,12.0,True,9a0d6a1ab9a0754d3c11d94e958802cbfa21805c60af1f0b4067dd180002d85a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,654,34,3278150188,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.091873738106101,0.09143862973861183,0.09053016107951492,-0.02163118003083177,0.19643122407410402,-0.0004351083674891676,0.0004351083674891676,0.9485,0.944,0.9395,0.926,0.07658368156176754,0.07762645064122953,0.0076992227725277895,0.1510024292486984,Directionally positive but marginal,34,2000,34,34,16,22.0,27,12.0,True,9a0d6a1ab9a0754d3c11d94e958802cbfa21805c60af1f0b4067dd180002d85a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,654,34,3278150188,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.12172609015566382,0.12269990407523446,0.1228886218299153,0.052559732353929876,0.19339587637632524,0.0009738139195706319,0.0009738139195706319,0.9995,0.9995,0.9995,0.999,0.047195700418228625,0.04769480361856071,0.002254753610932327,0.09315145966569519,Supported and practically material,34,2000,34,34,16,22.0,27,12.0,True,9a0d6a1ab9a0754d3c11d94e958802cbfa21805c60af1f0b4067dd180002d85a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,ElasticNet,295,33,1491868304,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.1896239191902338,0.192461129984639,0.19363898373509728,0.08455735780095999,0.30555748199910726,0.002837210794405187,0.002837210794405187,1.0,0.9995,0.9995,0.999,-0.006951511344262196,-0.006578056018887279,-0.06876305761267706,0.057693771907612115,Supported and practically material,33,2000,33,33,15,21.0,28,12.0,True,5a75d08302f015c08c400ceaa398c146f7198d94619076260e89e5499c309757
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,Future_Period,train_to_2012__test_from_2013,RandomForest,295,33,1491868304,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.1515578930146091,0.15519828921476264,0.15709556698429047,-0.04568209141153198,0.35141470523256146,0.0036403962001535506,0.0036403962001535506,0.943,0.9405,0.937,0.93,0.040609424903143676,0.039141203200980024,-0.08289856316831805,0.1909357470472874,Directionally positive but marginal,33,2000,33,33,15,21.0,28,12.0,True,5a75d08302f015c08c400ceaa398c146f7198d94619076260e89e5499c309757
