sample_id,signal,target_role,target,universe,validation,split_id,algorithm,test_rows,test_countries,bootstrap_seed,comparison_type,left_predictor,right_predictor,bootstrap_replicates,point_delta_r2,bootstrap_median_delta_r2,bootstrap_mean_delta_r2,bootstrap_ci_low_delta_r2,bootstrap_ci_high_delta_r2,bootstrap_median_minus_point_delta_r2,bootstrap_abs_median_minus_point_delta_r2,p_delta_r2_gt_0,p_delta_r2_gt_0p0025,p_delta_r2_gt_0p005,p_delta_r2_gt_0p01,point_delta_mae,bootstrap_median_delta_mae,bootstrap_ci_low_delta_mae,bootstrap_ci_high_delta_mae,five_way_unit_verdict,countries_N,replicates,draws_min,draws_max,distinct_countries_min,distinct_countries_median,distinct_countries_max,duplicate_draws_median,all_replicates_exact_N_draws,draw_count_matrix_sha256
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0030664005422256224,0.003034952240499711,0.0029456262909109566,-0.0013694364710083284,0.0071281606744648856,-3.144830172591151e-05,3.144830172591151e-05,0.9115,0.595,0.168,0.0,-0.0021510925543024584,-0.0021306135890933886,-0.00687261637143173,0.0027530009134819062,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.17535682631019234,0.17353759046593853,0.17368376232732347,0.11141700150113959,0.238935627215743,-0.0018192358442538081,0.0018192358442538081,1.0,1.0,1.0,1.0,0.006570997681296653,0.006671370390539166,-0.016241528919828035,0.031237717222629642,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.00325986584385185,0.0032092423095129163,0.003190464146147467,0.00016926259369557672,0.006086865004413381,-5.062353433893385e-05,5.062353433893385e-05,0.9805,0.68,0.1095,0.0,-0.0028958614797901516,-0.0028976088328992455,-0.006346780669693047,0.0006740088463538466,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.1757701504924858,0.17424418575212236,0.1741361687585647,0.11203430593881525,0.23969073764472182,-0.001525964740363428,0.001525964740363428,1.0,1.0,1.0,1.0,0.0071057649311283555,0.007357760952159398,-0.016142721684322528,0.031981107259695274,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.01650337783754474,0.01573025225291408,0.016058659088406667,0.0022393256738812944,0.030827959133021388,-0.0007731255846306628,0.0007731255846306628,0.99,0.9725,0.941,0.7905,-0.011650390970330049,-0.011362597097770988,-0.020399228694666635,-0.0025562241345555713,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.16176319157754449,0.1589812520521422,0.1588016685590106,0.07790369988396507,0.24044211317688877,-0.0027819395254022883,0.0027819395254022883,1.0,1.0,1.0,1.0,0.01407924851143827,0.014726142627229655,-0.013217213870337328,0.046081310071905045,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.007010130177977247,0.007050581367448461,0.0070887855742021635,0.003974963130060988,0.010406277561866508,4.04511894712134e-05,4.04511894712134e-05,1.0,0.998,0.9115,0.04,-0.0038248690926018236,-0.0037012828034121426,-0.008534715151202708,0.0007764875537725337,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.2181754572118385,0.2178908935737916,0.21800503314436742,0.13935347100584583,0.2939229090194715,-0.00028456363804690854,0.00028456363804690854,1.0,1.0,1.0,1.0,-0.02126006085028409,-0.02186828052355544,-0.048478586433497374,0.0057604408105396574,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.005722402528753667,0.005749535970720088,0.005785827399778645,0.003299882245712478,0.008525014832143511,2.7133441966420424e-05,2.7133441966420424e-05,1.0,0.9965,0.7215,0.0005,-0.0033812631995728815,-0.0033032422993921062,-0.0072793796715933685,0.00040967140957586537,Directionally positive but marginal,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,added_model_vs_strongest_benchmark,Lagged_Flow,M3_Macro_Oil_RegQuality_Score,2000,0.21806475179353746,0.21799264202563834,0.21787786948669008,0.1384194999703548,0.2946176828806273,-7.210976789912005e-05,7.210976789912005e-05,1.0,1.0,1.0,1.0,-0.020112078537305567,-0.020849729738658562,-0.047731915874508396,0.007579452373563289,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2
