sample_id,signal,target_role,target,universe,bootstrap_units,material_units,marginal_units,setup_dependent_units,unsupported_units,coverage_limited_units,positive_or_better_share,bootstrap_five_way_setup_verdict,verdict_scheme_order
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,18,4,10,1,3,0,0.7777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,18,0,5,6,4,3,0.2777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,18,0,1,6,8,3,0.05555555555555555,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,18,0,7,8,3,0,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_Score_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,18,0,8,5,5,0,0.4444444444444444,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__All_Eligible,Regulatory_Quality_Score_lag1,primary,Inward_FDI_Net_Flow_asinh,All_Eligible,18,0,14,2,2,0,0.7777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge10pct,Regulatory_Quality_Score_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge10pct,18,0,7,5,3,3,0.3888888888888889,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge15pct,Regulatory_Quality_Score_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge15pct,18,0,1,4,10,3,0.05555555555555555,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge1pct,Regulatory_Quality_Score_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge1pct,18,0,5,7,6,0,0.2777777777777778,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__primary__Oil_Rent_Intensive_Pre2016_ge5pct,Regulatory_Quality_Score_lag1,primary,Inward_FDI_Net_Flow_asinh,Oil_Rent_Intensive_Pre2016_ge5pct,18,0,10,7,1,0,0.5555555555555556,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__raw_ratio_stress__All_Eligible,Regulatory_Quality_Score_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,18,0,10,4,4,0,0.5555555555555556,Setup-dependent,Supported and practically material | Directionally positive but marginal | Setup-dependent | Unsupported | Coverage-limited
