target_role,universe,estimate_rows,score_rows,identical_row_order,identical_row_set,score_rowid_sha256,estimate_rowid_sha256
normalized,All_Eligible,3828,3828,True,True,4577f784cd5295a3fa163be97fb44b195b57d3352da9c8030cdccee6342f2351,4577f784cd5295a3fa163be97fb44b195b57d3352da9c8030cdccee6342f2351
normalized,Oil_Rent_Intensive_Pre2016_ge10pct,654,654,True,True,422b607915b4c7efeaecf7042cf2b3351fc1cc63a78131e4a109923539162c23,422b607915b4c7efeaecf7042cf2b3351fc1cc63a78131e4a109923539162c23
normalized,Oil_Rent_Intensive_Pre2016_ge15pct,570,570,True,True,8e082e06b332d76f800ec0bb31b75894e6a076b4cfd3942ca64eb1f35751820f,8e082e06b332d76f800ec0bb31b75894e6a076b4cfd3942ca64eb1f35751820f
normalized,Oil_Rent_Intensive_Pre2016_ge1pct,1390,1390,True,True,b4dde66471d9bef61e4279826d3cddb49aa84cc3871a75bdbfc73bd4eb2fa754,b4dde66471d9bef61e4279826d3cddb49aa84cc3871a75bdbfc73bd4eb2fa754
normalized,Oil_Rent_Intensive_Pre2016_ge5pct,892,892,True,True,329ef2b857908268b5a3db73be8e77763e0f1e89bc2b062b2517e14ee9707ae8,329ef2b857908268b5a3db73be8e77763e0f1e89bc2b062b2517e14ee9707ae8
primary,All_Eligible,3829,3829,True,True,d6b99d8b61d3fcc5fab8b63f4187ce52d2ee18f892b4804e4ebfe05603113941,d6b99d8b61d3fcc5fab8b63f4187ce52d2ee18f892b4804e4ebfe05603113941
primary,Oil_Rent_Intensive_Pre2016_ge10pct,655,655,True,True,6691ceef3356e11ae81ad23cd8ed7101bf4bffa47015e19b3a27caf100cb63b5,6691ceef3356e11ae81ad23cd8ed7101bf4bffa47015e19b3a27caf100cb63b5
primary,Oil_Rent_Intensive_Pre2016_ge15pct,571,571,True,True,df3fe6f2560a2de754d1978c20d945692a540c390fcc8ec9f63cf0944cee25dc,df3fe6f2560a2de754d1978c20d945692a540c390fcc8ec9f63cf0944cee25dc
primary,Oil_Rent_Intensive_Pre2016_ge1pct,1391,1391,True,True,9cdf620ca04324ae2824aaa28c0afaaf9f4bc571df5ba09556369d93b7c671cf,9cdf620ca04324ae2824aaa28c0afaaf9f4bc571df5ba09556369d93b7c671cf
primary,Oil_Rent_Intensive_Pre2016_ge5pct,893,893,True,True,6dcf8df94364879ba1b5caf25b9c8fc312fd1f026c25557166ae6c3e358058ad,6dcf8df94364879ba1b5caf25b9c8fc312fd1f026c25557166ae6c3e358058ad
raw_ratio_stress,All_Eligible,3828,3828,True,True,4577f784cd5295a3fa163be97fb44b195b57d3352da9c8030cdccee6342f2351,4577f784cd5295a3fa163be97fb44b195b57d3352da9c8030cdccee6342f2351
