sample_id_estimate,signal_estimate,target_role,target_estimate,universe,validation,split_id,algorithm,test_rows_estimate,test_countries_estimate,bootstrap_seed_estimate,comparison_type_estimate,left_predictor_estimate,right_predictor_estimate,bootstrap_replicates_estimate,point_delta_r2_estimate,bootstrap_median_delta_r2_estimate,bootstrap_mean_delta_r2_estimate,bootstrap_ci_low_delta_r2_estimate,bootstrap_ci_high_delta_r2_estimate,bootstrap_median_minus_point_delta_r2_estimate,bootstrap_abs_median_minus_point_delta_r2_estimate,p_delta_r2_gt_0_estimate,p_delta_r2_gt_0p0025_estimate,p_delta_r2_gt_0p005_estimate,p_delta_r2_gt_0p01_estimate,point_delta_mae_estimate,bootstrap_median_delta_mae_estimate,bootstrap_ci_low_delta_mae_estimate,bootstrap_ci_high_delta_mae_estimate,five_way_unit_verdict_estimate,countries_N_estimate,replicates_estimate,draws_min_estimate,draws_max_estimate,distinct_countries_min_estimate,distinct_countries_median_estimate,distinct_countries_max_estimate,duplicate_draws_median_estimate,all_replicates_exact_N_draws_estimate,draw_count_matrix_sha256_estimate,sample_id_score,signal_score,target_score,test_rows_score,test_countries_score,bootstrap_seed_score,comparison_type_score,left_predictor_score,right_predictor_score,bootstrap_replicates_score,point_delta_r2_score,bootstrap_median_delta_r2_score,bootstrap_mean_delta_r2_score,bootstrap_ci_low_delta_r2_score,bootstrap_ci_high_delta_r2_score,bootstrap_median_minus_point_delta_r2_score,bootstrap_abs_median_minus_point_delta_r2_score,p_delta_r2_gt_0_score,p_delta_r2_gt_0p0025_score,p_delta_r2_gt_0p005_score,p_delta_r2_gt_0p01_score,point_delta_mae_score,bootstrap_median_delta_mae_score,bootstrap_ci_low_delta_mae_score,bootstrap_ci_high_delta_mae_score,five_way_unit_verdict_score,countries_N_score,replicates_score,draws_min_score,draws_max_score,distinct_countries_min_score,distinct_countries_median_score,distinct_countries_max_score,duplicate_draws_median_score,all_replicates_exact_N_draws_score,draw_count_matrix_sha256_score,point_delta_r2_score_minus_estimate,unit_verdict_changed
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,ElasticNet,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0032598658440784,0.0032092423100751,0.0031904641462978,0.000169262594339,0.006086865009972,-5.062353400331343e-05,5.062353400331343e-05,0.9805,0.68,0.1095,0.0,-0.0028958614800869,-0.0028976088274486,-0.0063467806718142,0.0006740088435333,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,3828,184,2433254131,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0032598658438518,0.0032236958284848,0.0032454945217579,0.0002848798714241,0.0062879100173717,-3.6170015366987496e-05,3.6170015366987496e-05,0.9855,0.697,0.13,0.0,-0.0028958614797901,-0.0028723943405001,-0.0065446071197032,0.0006675777408658,Directionally positive but marginal,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7,-2.265999887729464e-13,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,RandomForest,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0165033778375447,0.015730252252914,0.0160586590884066,0.0022393256738812,0.0308279591330213,-0.0007731255846306,0.0007731255846306,0.99,0.9725,0.941,0.7905,-0.01165039097033,-0.0113625970977709,-0.0203992286946666,-0.0025562241345554,Supported and practically material,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,3828,184,2433254131,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0165033778375447,0.016093966705542,0.0166706196234855,0.0031585191191563,0.0321771930297034,-0.0004094111320026,0.0004094111320026,0.9925,0.9775,0.949,0.811,-0.01165039097033,-0.0117873836407697,-0.0211287307448986,-0.0031229100948101,Supported and practically material,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7,0.0,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Country_Holdout_CV,OOF_ALL_FOLDS,Ridge,3828,184,4083802973,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0030664005421495,0.003034952241687,0.0029456262907165,-0.0013694364651504,0.0071281606688712,-3.144830046247771e-05,3.144830046247771e-05,0.9115,0.595,0.168,0.0,-0.002151092556075,-0.0021306135893789,-0.0068726163669542,0.0027530009136217,Directionally positive but marginal,184,2000,184,184,103,117.0,130,67.0,True,c60041bff36261d6ca2081759a9e0d08a9ee891dba74f98225f27c588453d41a,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,3828,184,2433254131,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0030664005422256,0.0030524883713731,0.00303407594452,-0.001309016166877,0.0073719586821883,-1.3912170852448114e-05,1.3912170852448114e-05,0.903,0.604,0.1955,0.0005,-0.0021510925543024,-0.002133675499055,-0.0072730112848184,0.0026777813437016,Directionally positive but marginal,184,2000,184,184,102,117.0,131,67.0,True,f071421e8edadd75f769513a23c2071aa9def15022c1717aefe632bc1284ecc7,7.609971680588856e-14,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,ElasticNet,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005722402526557,0.0057495359742288,0.0057858273976481,0.0032998822403183,0.0085250148286237,2.713344767180104e-05,2.713344767180104e-05,1.0,0.9965,0.7215,0.0005,-0.0033812631990102,-0.0033032423063144,-0.0072793796702483,0.00040967139809,Directionally positive but marginal,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1760,183,1103515508,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0057224025287536,0.0056917283875045,0.005730466970523,0.0031800406794913,0.0084313884972732,-3.0674141249131814e-05,3.0674141249131814e-05,1.0,0.994,0.706,0.0015,-0.0033812631995728,-0.0033025940543865,-0.0071827547160079,0.0006531497570164,Directionally positive but marginal,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214,2.196599672987798e-12,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,RandomForest,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,-0.0124160845784214,-0.0120973472142281,-0.0121650838337996,-0.0260781959305026,0.0014140414835209,0.0003187373641933,0.0003187373641933,0.0425,0.0165,0.006,0.001,-0.0005761027639316,-0.0005433795844992,-0.0126192389342228,0.0114024942902181,Unsupported,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1760,183,1103515508,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,-0.0124160845784214,-0.0125213282700604,-0.0124867104877633,-0.0264142999036446,0.0014824799305135,-0.0001052436916389,0.0001052436916389,0.039,0.02,0.0115,0.002,-0.0005761027639316,-0.0006276751061732,-0.0126388975062067,0.0116414251926286,Unsupported,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214,0.0,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2012__test_from_2013,Ridge,1760,183,412666729,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0070101301780141,0.0070505813711886,0.007088785574362,0.0039749631292898,0.0104062775722001,4.045119317452883e-05,4.045119317452883e-05,1.0,0.998,0.9115,0.04,-0.0038248690966575,-0.0037012828041601,-0.0085347151444982,0.0007764875389133,Supported and practically material,183,2000,183,183,104,116.0,130,67.0,True,b487f65f13ecd5d3a792f28bf8ff2af1ded9a54ee2dc4b1654859b23dcc9b2f2,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1760,183,1103515508,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0070101301779772,0.0069812028269203,0.0070126758034162,0.0038673088429481,0.010327972193955,-2.892735105686217e-05,2.892735105686217e-05,1.0,0.9965,0.896,0.0395,-0.0038248690926018,-0.0037888641239216,-0.0084947014548154,0.0011065063883416,Supported and practically material,183,2000,183,183,103,116.0,132,67.0,True,8981b20830ef79f2790c8dd623c6f541f5cfcefdab927ca025489dc3204c2214,-3.690017041924065e-14,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,ElasticNet,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005145038469526,0.0051797279736298,0.0051936012320458,0.0023397251045905,0.0083415525704407,3.46895041037909e-05,3.46895041037909e-05,1.0,0.9625,0.547,0.002,-0.0023343328955446,-0.0023437045742287,-0.0070056529815044,0.0022683267198505,Directionally positive but marginal,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1401,183,2179153686,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.005145038464844,0.0051986954090729,0.0051468434973698,0.0020807425017589,0.0082007689923549,5.365694422887479e-05,5.365694422887479e-05,0.9995,0.957,0.5485,0.0015,-0.0023343328894365,-0.002265498222348,-0.0069599117613326,0.0023435491444084,Directionally positive but marginal,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01,-4.681999579703167e-12,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,RandomForest,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0198359872123594,0.019891527469016,0.0202329035420805,0.0012241838506272,0.0418198329502078,5.5540256656549936e-05,5.5540256656549936e-05,0.979,0.9625,0.937,0.8345,-0.0095833958809493,-0.0095565041254915,-0.0218825156851318,0.0020746253735713,Supported and practically material,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1401,183,2179153686,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0198359872123594,0.0198141700861586,0.0201654698090183,-0.0001690880545178,0.043868656868699,-2.1817126200862624e-05,2.1817126200862624e-05,0.9735,0.948,0.92,0.8155,-0.0095833958809493,-0.0095306244836385,-0.0223813809751764,0.0033186769056197,Directionally positive but marginal,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01,0.0,True
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2014__test_from_2015,Ridge,1401,183,1369249502,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.0060366133411127,0.0060701589102342,0.0060863841688781,0.0024999502220881,0.0099348251571337,3.3545569121495866e-05,3.3545569121495866e-05,1.0,0.975,0.724,0.025,-0.0022642786906906,-0.0022351444659111,-0.0079124107456717,0.0032971048948436,Directionally positive but marginal,183,2000,183,183,103,116.0,131,67.0,True,249bffeb7770d017bc07e449fb90e87b7a17400cc7857a898390fed8d11f2ad9,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1401,183,2179153686,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0060366133361579,0.0060694384647865,0.0060242667365638,0.002221587635305,0.0097692749789399,3.282512862862186e-05,3.282512862862186e-05,0.999,0.968,0.704,0.0175,-0.0022642786842973,-0.0021654082661949,-0.0078559425468123,0.0032093897822715,Directionally positive but marginal,183,2000,183,183,102,116.0,130,67.0,True,2ec6a0de5cec66e1a3259b5e2946b37379a332fb28627e578d65c17cac880c01,-4.954800458811803e-12,False
M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality__normalized__All_Eligible,Regulatory_Quality_lag1,normalized,Inward_FDI_Net_Flow_GDP_Pct_asinh,All_Eligible,Future_Period,train_to_2015__test_from_2016,ElasticNet,1222,180,1890368004,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality,2000,0.005403359088382,0.0054711727690115,0.0054857017663747,0.0027968546757574,0.0082391812338881,6.781368062946935e-05,6.781368062946935e-05,1.0,0.9885,0.635,0.001,-0.0021929525938834,-0.0021942724924441,-0.0062904920058904,0.0019336789513266,Directionally positive but marginal,180,2000,180,180,99,114.0,128,66.0,True,1eff77c540ef9d7c07c53bde4f1fceea92c901c415f076f97b4f3df997fa5783,M2_Macro_Oil_vs_M3_Macro_Oil_RegQuality_Score__normalized__All_Eligible,Regulatory_Quality_Score_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh,1222,180,1682767197,signal_increment,M2_Macro_Oil,M3_Macro_Oil_RegQuality_Score,2000,0.0054033590862079,0.0054356327536107,0.0054619060906161,0.0029183887736591,0.0081398294694218,3.227366740282678e-05,3.227366740282678e-05,1.0,0.989,0.628,0.0005,-0.0021929525876983,-0.0021918771887307,-0.0061275373035546,0.0017336836994083,Directionally positive but marginal,180,2000,180,180,95,114.0,129,66.0,True,5bfc54b4f8e1023dafe4e9778a30cc0e59f9da0f922d112344846b372a219718,-2.1740994421426407e-12,False
