Country Name,ISO3,Year,Avg_FDI_Restriction_Index,FDI_Flows_Millions_USD,Mineral_Rents_GDP_Percent,Mineral_Rents_Log,FDI_Restriction_Scaled,FDI_Flows_Scaled,Resource_Rich_Target
Angola,AGO,1995,0.003981915,2921,0,0,-0.338205697,-0.2664121,0
Angola,AGO,1996,0.003981915,3101,0,0,-0.338205697,-0.266106692,0
Angola,AGO,1997,0.003981915,3513,0,0,-0.338205697,-0.265407647,0
Angola,AGO,1998,0.003981915,4627,0,0,-0.338205697,-0.26351751,0
Angola,AGO,1999,0.003981915,7099,0,0,-0.338205697,-0.259323239,0
Angola,AGO,2000,0.003981915,7977,0,0,-0.338205697,-0.257833526,0
Angola,AGO,2001,0.003981915,10123,0,0,-0.338205697,-0.254192383,0
Angola,AGO,2002,0.003981915,11866,0,0,-0.338205697,-0.251235015,0
Angola,AGO,2003,0.003981915,15443,0,0,-0.338205697,-0.245165877,0
Angola,AGO,2004,0.003981915,17640,0,0,-0.338205697,-0.241438202,0
Angola,AGO,2005,0.003981915,16336,0,0,-0.338205697,-0.243650714,0
Angola,AGO,2006,0.003981915,16299,0,0,-0.338205697,-0.243713492,0
Angola,AGO,2007,0.003981915,15405,0,0,-0.338205697,-0.245230352,0
Angola,AGO,2008,0.003981915,17084,0,0,-0.338205697,-0.242381574,0
Angola,AGO,2009,0.003981915,19290,0,0,-0.338205697,-0.238638628,0
Angola,AGO,2010,0.003981915,32458,0,0,-0.338205697,-0.21629633,0
Angola,AGO,2011,0.003981915,43275,0,0,-0.338205697,-0.197943001,0
Angola,AGO,2012,0.003981915,41811,0,0,-0.338205697,-0.200426987,0
Angola,AGO,2013,0.003981915,34691,0,0,-0.338205697,-0.212507573,0
Angola,AGO,2014,0.003981915,25479,0,0,-0.338205697,-0.22813768,0
Angola,AGO,2015,0.003981915,32312,0,0,-0.338205697,-0.21654405,0
Angola,AGO,2016,0.003981915,29184,0,0,-0.338205697,-0.221851364,0
Angola,AGO,2017,0.003981915,29436,0,0,-0.338205697,-0.221423792,0
Angola,AGO,2018,0.003981915,22717,0,0,-0.338205697,-0.232823997,0
Angola,AGO,2019,0.003981915,18879,0,0,-0.338205697,-0.239335976,0
Angola,AGO,2020,0.003981915,21595,0,0,-0.338205697,-0.234727708,0
Angola,AGO,2021,0.003834567,20861,0,0,-0.356055391,-0.235973094,0
Albania,ALB,1995,0.003630469,211,0.037183656,0.036509017,-0.380779764,-0.271010188,0
Albania,ALB,1996,0.003630469,301,0.037460468,0.036775869,-0.380779764,-0.270857484,0
Albania,ALB,1997,0.003630469,349,0.008600433,0.00856366,-0.380779764,-0.270776042,0
Albania,ALB,1998,0.003630469,394,0.018331495,0.018165499,-0.380779764,-0.27069969,0
Albania,ALB,1999,0.003630469,435,0.005672402,0.005656375,-0.380779764,-0.270630125,0
Albania,ALB,2000,0.003630469,247,0,0,-0.380779764,-0.270949107,0
Albania,ALB,2001,0.003630469,327,0,0,-0.380779764,-0.27081337,0
Albania,ALB,2002,0.003630469,360,0,0,-0.380779764,-0.270757378,0
Albania,ALB,2003,0.003630469,483,0,0,-0.380779764,-0.270548683,0
Albania,ALB,2004,0.003630469,837,0.00996934,0.009919974,-0.380779764,-0.269948047,0
Albania,ALB,2005,0.003630469,1020,0.025123242,0.024812841,-0.380779764,-0.269637548,0
Albania,ALB,2006,0.003630469,1392,0.121229707,0.114426036,-0.380779764,-0.269006372,0
Albania,ALB,2007,0.003630469,2693,0.834611353,0.606832662,-0.380779764,-0.26679895,0
Albania,ALB,2008,0.003630469,2869,0.078706623,0.075762752,-0.380779764,-0.266500329,0
Albania,ALB,2009,0.003630469,3258,0.0418367,0.040985213,-0.380779764,-0.265840308,0
Albania,ALB,2010,0.003630469,3255,0.142023694,0.132801859,-0.380779764,-0.265845398,0
Albania,ALB,2011,0.003630469,4399,0.218928064,0.197971836,-0.380779764,-0.26390436,0
Albania,ALB,2012,0.003630469,4303,0.165774444,0.153385625,-0.380779764,-0.264067244,0
Albania,ALB,2013,0.003630469,3931,0.111634516,0.105831469,-0.380779764,-0.264698421,0
Albania,ALB,2014,0.003630469,4295,0.105381258,0.100190305,-0.380779764,-0.264080818,0
Albania,ALB,2015,0.003630469,4337,0.065794847,0.063720856,-0.380779764,-0.264009556,0
Albania,ALB,2016,0.003630469,4985,0.002694133,0.00269051,-0.380779764,-0.262910087,0
Albania,ALB,2017,0.003630469,6742,0,0,-0.380779764,-0.259928965,0
Albania,ALB,2018,0.003630469,7664,0.040868827,0.040055775,-0.380779764,-0.258364597,0
Albania,ALB,2019,0.003630469,8188,0.036388555,0.035742127,-0.380779764,-0.25747552,0
Albania,ALB,2020,0.003630469,9608,0.038933811,0.038195006,-0.380779764,-0.255066189,0
Albania,ALB,2021,0.003630469,9786,0.180213706,0.165695529,-0.380779764,-0.254764175,0
Argentina,ARG,1995,0.004652083,27991,0.006198879,0.006179745,-0.257021739,-0.223875541,0
Argentina,ARG,1996,0.004652083,33557,0.005517457,0.005502292,-0.257021739,-0.214431644,0
Argentina,ARG,1997,0.004652083,42013,0.004537976,0.00452771,-0.257021739,-0.200084251,0
Argentina,ARG,1998,0.004652083,47797,0.014256334,0.014155668,-0.257021739,-0.190270471,0
Argentina,ARG,1999,0.004652083,61926,0.022251984,0.022008021,-0.257021739,-0.166297633,0
Argentina,ARG,2000,0.004652083,67601,0.002020369,0.002018331,-0.257021739,-0.156668795,0
Argentina,ARG,2001,0.004652083,79504,0.001119119,0.001118493,-0.257021739,-0.136472837,0
Argentina,ARG,2002,0.004652083,43146,0.199715933,0.182084806,-0.257021739,-0.198161877,0
Argentina,ARG,2003,0.004652083,48262,0.189784358,0.173772079,-0.257021739,-0.1894815,0
Argentina,ARG,2004,0.004652083,52507,0.226514484,0.204176394,-0.257021739,-0.182278959,0
Argentina,ARG,2005,0.004652083,55139,0.208636459,0.189492831,-0.257021739,-0.177813215,0
Argentina,ARG,2006,0.004652083,59882,0.550799858,0.438770835,-0.257021739,-0.169765712,0
Argentina,ARG,2007,0.004652083,66226,0.431152491,0.358480057,-0.257021739,-0.159001773,0
Argentina,ARG,2008,0.004652083,75235,0.308451844,0.26884464,-0.257021739,-0.143716099,0
Argentina,ARG,2009,0.004652083,78205,0.299002838,0.261596922,-0.257021739,-0.138676865,0
Argentina,ARG,2010,0.004652083,85591,0.522757302,0.420522706,-0.257021739,-0.126144954,0
Argentina,ARG,2011,0.004652083,92295,0.516427776,0.416357422,-0.257021739,-0.114770199,0
Argentina,ARG,2012,0.004652083,98706,0.431941664,0.35903133,-0.257021739,-0.103892581,0
Argentina,ARG,2013,0.004652083,88338,0.230446182,0.207376853,-0.257021739,-0.121484087,0
Argentina,ARG,2014,0.004652083,89716,0.237871847,0.213393653,-0.257021739,-0.119146018,0
Argentina,ARG,2015,0.004652083,79773,0.076578009,0.073787501,-0.257021739,-0.136016422,0
Argentina,ARG,2016,0.004652083,74868,0.145541934,0.13587783,-0.257021739,-0.144338792,0
Argentina,ARG,2017,0.004652083,80700,0.103008865,0.098041777,-0.257021739,-0.13444357,0
Argentina,ARG,2018,0.004652083,72589,0.182567164,0.167687638,-0.257021739,-0.148205598,0
Argentina,ARG,2019,0.004652083,70458,0.187297066,0.171679351,-0.257021739,-0.15182129,0
Argentina,ARG,2020,0.004652083,85269,0.257461778,0.229095227,-0.257021739,-0.126691295,0
Argentina,ARG,2021,0.008140385,99995,0.580266655,0.457593602,0.165550159,-0.10170552,0
Armenia,ARM,1995,0.00825,66,0.551537755,0.439246539,0.178828888,-0.271256211,0
Armenia,ARM,1996,0.00825,84,0.281076391,0.247700655,0.178828888,-0.271225671,0
Armenia,ARM,1997,0.00825,103,0.291894849,0.256110016,0.178828888,-0.271193433,0
Armenia,ARM,1998,0.00825,103,0.088170258,0.084497623,0.178828888,-0.271193433,0
Armenia,ARM,1999,0.00825,421,0.148454247,0.138416905,0.178828888,-0.270653879,0
Armenia,ARM,2000,0.00825,513,0.271357452,0.240085189,0.178828888,-0.270497781,0
Armenia,ARM,2001,0.00825,580,0.280957152,0.247607573,0.178828888,-0.270384102,0
Armenia,ARM,2002,0.00825,684,0.570610604,0.451464463,0.178828888,-0.270207644,0
Armenia,ARM,2003,0.00825,795,0.006165259,0.006146332,0.178828888,-0.270019309,0
Armenia,ARM,2004,0.00825,1039,0,0,0.178828888,-0.269605311,0
Armenia,ARM,2005,0.00825,1383,0,0,0.178828888,-0.269021642,0
Armenia,ARM,2006,0.00825,1880,0,0,0.178828888,-0.268178377,0
