Feature_Set,Model,Train_N,Val_N,Test_N,Train_R2,Val_R2,Test_R2,Test_RMSE,Test_MAE,Persistence_R2,Persistence_RMSE,Beats_Persistence
M0,Dummy_mean,1872,367,184,0.0,-0.4256,-0.5165,2.4639,2.0087,0.9938,0.1573,No
M0,Ridge,1872,367,184,0.0,-0.4256,-0.5166,2.4639,2.0087,0.9938,0.1573,No
M0,ElasticNet,1872,367,184,0.0,-0.4256,-0.5165,2.4639,2.0087,0.9938,0.1573,No
M0,RandomForest,1872,367,184,0.3898,-0.2073,-0.2645,2.2499,1.7528,0.9938,0.1573,No
M0,GradBoost,1872,367,184,0.3313,-0.0806,-0.2042,2.1956,1.7205,0.9938,0.1573,No
M0,XGBoost,1872,367,184,0.2925,-0.0969,-0.1857,2.1787,1.7025,0.9938,0.1573,No
M0,LightGBM,1872,367,184,0.2862,-0.083,-0.1734,2.1673,1.6909,0.9938,0.1573,No
M1,Dummy_mean,1630,354,176,0.0,-0.2768,-0.4098,2.2322,1.8069,0.9927,0.1604,No
M1,Ridge,1630,354,176,0.8834,0.8253,0.7641,0.9131,0.7372,0.9927,0.1604,No
M1,ElasticNet,1630,354,176,0.878,0.814,0.7537,0.933,0.7677,0.9927,0.1604,No
M1,RandomForest,1630,354,176,0.9781,0.9199,0.8519,0.7236,0.5718,0.9927,0.1604,No
M1,GradBoost,1630,354,176,0.9605,0.9016,0.8385,0.7556,0.5878,0.9927,0.1604,No
M1,XGBoost,1630,354,176,0.9568,0.8971,0.8368,0.7595,0.5831,0.9927,0.1604,No
M1,LightGBM,1630,354,176,0.9531,0.8955,0.8427,0.7455,0.5808,0.9927,0.1604,No
M2,Dummy_mean,365,366,183,0.0,-0.0123,-0.0367,2.0367,1.6468,0.9938,0.1577,No
M2,Ridge,365,366,183,0.3037,0.3,0.2865,1.6896,1.4222,0.9938,0.1577,No
M2,ElasticNet,365,366,183,0.3007,0.296,0.2793,1.6981,1.4259,0.9938,0.1577,No
M2,RandomForest,365,366,183,0.6625,0.344,0.2431,1.7403,1.3989,0.9938,0.1577,No
M2,GradBoost,365,366,183,0.7403,0.3221,0.2494,1.733,1.3841,0.9938,0.1577,No
M2,XGBoost,365,366,183,0.699,0.3442,0.2482,1.7344,1.4025,0.9938,0.1577,No
M2,LightGBM,365,366,183,0.6021,0.359,0.2132,1.7743,1.4172,0.9938,0.1577,No
M3,Dummy_mean,1619,353,176,0.0,-0.2766,-0.4073,2.2303,1.8053,0.9927,0.1604,No
M3,Ridge,1619,353,176,0.8865,0.829,0.7707,0.9003,0.7267,0.9927,0.1604,No
M3,ElasticNet,1619,353,176,0.8806,0.8171,0.7583,0.9242,0.7607,0.9927,0.1604,No
M3,RandomForest,1619,353,176,0.9808,0.9222,0.86,0.7034,0.5597,0.9927,0.1604,No
M3,GradBoost,1619,353,176,0.9664,0.9073,0.8456,0.7387,0.5707,0.9927,0.1604,No
M3,XGBoost,1619,353,176,0.9642,0.9039,0.8397,0.7527,0.5816,0.9927,0.1604,No
M3,LightGBM,1619,353,176,0.9602,0.9041,0.8416,0.7483,0.5774,0.9927,0.1604,No
M4,Dummy_mean,344,351,175,0.0,-0.0092,-0.0435,1.9182,1.5715,0.9927,0.1608,No
M4,Ridge,344,351,175,0.91,0.8958,0.8804,0.6494,0.5006,0.9927,0.1608,No
M4,ElasticNet,344,351,175,0.9009,0.8854,0.8586,0.7062,0.5505,0.9927,0.1608,No
M4,RandomForest,344,351,175,0.9758,0.9217,0.8768,0.6591,0.4851,0.9927,0.1608,No
M4,GradBoost,344,351,175,0.9931,0.9482,0.9098,0.5641,0.4418,0.9927,0.1608,No
M4,XGBoost,344,351,175,0.9912,0.9359,0.9026,0.586,0.4412,0.9927,0.1608,No
M4,LightGBM,344,351,175,0.9788,0.9227,0.8881,0.6283,0.4711,0.9927,0.1608,No
